repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/config.git,v2.0.0,3913,1749,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.1,3913,1749,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.4,3913,1749,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.5,3905,1749,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.6,3905,1749,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.7,3905,1749,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.9,3933,1777,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.10,3933,1777,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.12,3933,1777,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.13,3933,1777,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.14,3942,1787,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.15,3942,1787,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.16,3941,1787,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.17,3941,1787,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.18,3941,1787,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.19,3941,1787,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.20,3943,1789,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.21,3943,1789,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.22,3943,1789,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.23,3943,1789,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.24,3943,1789,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.0.25,3943,1789,180,0.00%,2.9539473684211,0,25,149,193,0
git@github.com:symfony/config.git,v2.1.0,6574,2337,224,0.00%,3.1655405405405,0,25,149,632,0
git@github.com:symfony/config.git,v2.1.1,6574,2337,224,0.00%,3.1655405405405,0,25,149,632,0
git@github.com:symfony/config.git,v2.1.2,6574,2337,224,0.00%,3.1655405405405,0,25,149,632,0
git@github.com:symfony/config.git,v2.1.3,6594,2337,225,0.00%,3.1683501683502,0,25,149,647,0
git@github.com:symfony/config.git,v2.1.4,6594,2337,225,0.00%,3.1683501683502,0,25,149,647,0
git@github.com:symfony/config.git,v2.1.5,6606,2339,225,0.00%,3.1711409395973,0,25,149,653,0
git@github.com:symfony/config.git,v2.1.6,6606,2339,225,0.00%,3.1711409395973,0,25,149,653,0
git@github.com:symfony/config.git,v2.1.7,6606,2339,225,0.00%,3.1711409395973,0,25,149,653,0
git@github.com:symfony/config.git,v2.1.8,6606,2339,225,0.00%,3.1711409395973,0,25,149,653,0
git@github.com:symfony/config.git,v2.1.9,6606,2339,225,0.00%,3.1711409395973,0,25,149,653,0
git@github.com:symfony/config.git,v2.1.10,6633,2363,225,0.00%,3.1711409395973,0,25,149,653,0
git@github.com:symfony/config.git,v2.1.11,6667,2359,224,0.00%,3.1733333333333,0,25,149,668,0
git@github.com:symfony/config.git,v2.1.12,6667,2359,224,0.00%,3.1733333333333,0,25,149,668,0
git@github.com:symfony/config.git,v2.1.13,6667,2359,224,0.00%,3.1733333333333,0,25,149,668,0
git@github.com:symfony/config.git,v2.2.0,7918,2700,313,0.00%,3.3457142857143,0,25,149,865,0
git@github.com:symfony/config.git,v2.2.1,7919,2700,313,0.00%,3.3457142857143,0,25,149,865,0
git@github.com:symfony/config.git,v2.2.2,7988,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.3,7988,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.4,7988,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.5,7988,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.6,7988,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.7,7989,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.8,7989,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.9,7989,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.10,7989,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.2.11,7989,2720,312,0.00%,3.3465909090909,0,25,149,881,0
git@github.com:symfony/config.git,v2.3.0,8088,2747,311,0.00%,3.3454038997214,0,25,149,888,0
git@github.com:symfony/config.git,v2.3.1,8213,2719,313,0.00%,3.3333333333333,0,25,149,889,0
git@github.com:symfony/config.git,v2.3.2,8213,2719,313,0.00%,3.3333333333333,0,25,149,889,0
git@github.com:symfony/config.git,v2.3.3,8213,2719,313,0.00%,3.3333333333333,0,25,149,889,0
git@github.com:symfony/config.git,v2.3.4,8213,2719,313,0.00%,3.3333333333333,0,25,149,889,0
git@github.com:symfony/config.git,v2.3.5,8214,2719,313,0.00%,3.3333333333333,0,25,149,889,0
git@github.com:symfony/config.git,v2.3.6,8214,2719,313,0.00%,3.3333333333333,0,25,149,889,0
git@github.com:symfony/config.git,v2.3.7,8214,2719,313,0.00%,3.3333333333333,0,25,149,889,0
git@github.com:symfony/config.git,v2.3.8,8214,2719,313,0.00%,3.3333333333333,0,25,149,889,0
git@github.com:symfony/config.git,v2.3.9,8289,2725,313,0.00%,3.3614775725594,0,25,149,896,0
git@github.com:symfony/config.git,v2.3.10,8289,2725,313,0.00%,3.3614775725594,0,25,149,896,0
git@github.com:symfony/config.git,v2.3.11,8289,2725,313,0.00%,3.3614775725594,0,25,149,896,0
git@github.com:symfony/config.git,v2.3.12,8364,2732,317,0.00%,3.3805774278215,0,25,149,903,0
git@github.com:symfony/config.git,v2.3.13,8364,2732,317,0.00%,3.3805774278215,0,25,149,903,0
git@github.com:symfony/config.git,v2.3.14,8364,2732,317,0.00%,3.3805774278215,0,25,149,903,0
git@github.com:symfony/config.git,v2.3.15,8364,2732,317,0.00%,3.3805774278215,0,25,149,903,0
