repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/console.git,v2.0.0,5078,2223,337,0.00%,3.2227722772277,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.1,5078,2223,338,0.00%,3.2227722772277,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.4,5093,2223,340,0.00%,3.2326732673267,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.5,5093,2223,340,0.00%,3.2326732673267,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.6,5093,2223,340,0.00%,3.2326732673267,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.7,5093,2223,340,0.00%,3.2326732673267,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.9,5134,2259,344,0.00%,3.2216748768473,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.10,5135,2259,344,0.00%,3.2216748768473,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.12,5164,2270,344,0.00%,3.1941747572816,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.13,5219,2290,353,0.00%,3.1818181818182,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.14,5233,2304,353,0.00%,3.1818181818182,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.15,5233,2304,353,0.00%,3.1818181818182,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.16,5233,2304,353,0.00%,3.1818181818182,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.17,5252,2309,354,0.00%,3.2,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.18,5252,2309,354,0.00%,3.2,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.19,5252,2309,354,0.00%,3.2,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.20,5252,2309,354,0.00%,3.2,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.21,5252,2309,354,0.00%,3.2,0,153,283,184,0
git@github.com:symfony/console.git,v2.0.22,5256,2309,357,0.00%,3.2142857142857,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.23,5256,2309,357,0.00%,3.2142857142857,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.24,5256,2309,357,0.00%,3.2142857142857,0,153,283,185,0
git@github.com:symfony/console.git,v2.0.25,5256,2309,357,0.00%,3.2142857142857,0,153,283,185,0
git@github.com:symfony/console.git,v2.1.0,8871,2729,478,0.21%,4.7070707070707,0,153,283,538,0
