repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/css-selector.git,v2.0.0,2084,817,141,0.00%,4.6582278481013,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.1,2084,817,141,0.00%,4.6582278481013,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.4,2084,817,141,0.00%,4.6582278481013,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.5,2084,817,141,0.00%,4.6582278481013,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.6,2084,817,141,0.00%,4.6582278481013,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.7,2084,817,141,0.00%,4.6582278481013,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.9,2103,836,141,0.00%,4.6582278481013,0,21,68,163,0
git@github.com:symfony/css-selector.git,v2.0.10,2103,836,141,0.00%,4.6582278481013,0,21,68,163,0
git@github.com:symfony/css-selector.git,v2.0.12,2107,836,142,0.00%,4.6708860759494,0,21,68,163,0
git@github.com:symfony/css-selector.git,v2.0.13,2107,836,142,0.00%,4.6708860759494,0,21,68,163,0
git@github.com:symfony/css-selector.git,v2.0.14,2115,844,142,0.00%,4.6708860759494,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.15,2114,844,142,0.00%,4.6708860759494,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.16,2114,844,142,0.00%,4.6708860759494,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.17,2114,844,142,0.00%,4.6708860759494,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.18,2114,844,142,0.00%,4.6708860759494,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.19,2114,844,142,0.00%,4.6708860759494,0,21,68,162,0
git@github.com:symfony/css-selector.git,v2.0.20,2112,844,142,0.00%,4.6708860759494,0,21,68,162,0
