repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/dependency-injection.git,v2.0.0,9050,3516,671,0.00%,3.8086956521739,0,47,258,366,0
git@github.com:symfony/dependency-injection.git,v2.0.1,9050,3516,671,0.00%,3.8086956521739,0,47,258,366,0
git@github.com:symfony/dependency-injection.git,v2.0.4,9050,3516,672,0.00%,3.8086956521739,0,47,258,366,0
git@github.com:symfony/dependency-injection.git,v2.0.5,9074,3528,676,0.00%,3.8150289017341,0,47,258,367,0
git@github.com:symfony/dependency-injection.git,v2.0.6,9074,3528,676,0.00%,3.8150289017341,0,47,258,367,0
git@github.com:symfony/dependency-injection.git,v2.0.7,9078,3530,677,0.00%,3.8179190751445,0,47,258,367,0
git@github.com:symfony/dependency-injection.git,v2.0.9,9172,3622,677,0.00%,3.8208092485549,0,47,258,367,0
git@github.com:symfony/dependency-injection.git,v2.0.10,9192,3622,680,0.00%,3.8270893371758,0,47,258,372,0
git@github.com:symfony/dependency-injection.git,v2.0.12,9197,3623,681,0.00%,3.8270893371758,0,47,258,372,0
git@github.com:symfony/dependency-injection.git,v2.0.13,9205,3623,684,0.00%,3.8328530259366,0,47,258,372,0
git@github.com:symfony/dependency-injection.git,v2.0.14,9208,3623,685,0.00%,3.835734870317,0,47,258,373,0
git@github.com:symfony/dependency-injection.git,v2.0.15,9207,3623,685,0.00%,3.835734870317,0,47,258,373,0
git@github.com:symfony/dependency-injection.git,v2.0.16,9206,3623,685,0.00%,3.835734870317,0,47,258,373,0
git@github.com:symfony/dependency-injection.git,v2.0.17,9228,3623,688,0.00%,3.8616714697406,0,47,258,375,0
git@github.com:symfony/dependency-injection.git,v2.0.18,9245,3635,688,0.00%,3.8616714697406,0,47,258,375,0
git@github.com:symfony/dependency-injection.git,v2.0.19,9245,3635,688,0.00%,3.8616714697406,0,47,258,375,0
git@github.com:symfony/dependency-injection.git,v2.0.20,9245,3635,688,0.00%,3.8616714697406,0,47,258,375,0
git@github.com:symfony/dependency-injection.git,v2.0.21,9245,3635,688,0.00%,3.8616714697406,0,47,258,375,0
git@github.com:symfony/dependency-injection.git,v2.0.22,9242,3635,683,0.00%,3.8505747126437,0,47,258,367,0
git@github.com:symfony/dependency-injection.git,v2.0.23,9268,3635,688,0.00%,3.8681948424069,0,47,258,368,0
git@github.com:symfony/dependency-injection.git,v2.0.24,9268,3635,688,0.00%,3.8681948424069,0,47,258,368,0
git@github.com:symfony/dependency-injection.git,v2.0.25,9268,3635,688,0.00%,3.8681948424069,0,47,258,368,0
git@github.com:symfony/dependency-injection.git,v2.1.0,14311,4452,774,0.00%,4.4331210191083,0,47,258,869,0
git@github.com:symfony/dependency-injection.git,v2.1.1,14313,4452,774,0.00%,4.4363057324841,0,47,258,869,0
git@github.com:symfony/dependency-injection.git,v2.1.2,14376,4510,774,0.00%,4.4363057324841,0,47,258,869,0
git@github.com:symfony/dependency-injection.git,v2.1.3,14408,4510,777,0.00%,4.4412698412698,0,47,258,879,0
git@github.com:symfony/dependency-injection.git,v2.1.4,14408,4510,777,0.00%,4.4412698412698,0,47,258,879,0
git@github.com:symfony/dependency-injection.git,v2.1.5,14408,4510,777,0.00%,4.4412698412698,0,47,258,879,0
git@github.com:symfony/dependency-injection.git,v2.1.6,14408,4510,777,0.00%,4.4412698412698,0,47,258,879,0
git@github.com:symfony/dependency-injection.git,v2.1.7,14753,4632,774,0.95%,4.3911042944785,0,47,258,894,0
git@github.com:symfony/dependency-injection.git,v2.1.8,14865,4637,780,0.94%,4.4185692541857,0,47,258,901,0
git@github.com:symfony/dependency-injection.git,v2.1.9,14898,4644,786,0.94%,4.4240121580547,0,47,258,906,0
git@github.com:symfony/dependency-injection.git,v2.1.10,14925,4658,786,0.94%,4.4279210925645,0,47,258,909,0
git@github.com:symfony/dependency-injection.git,v2.1.11,14925,4658,786,0.94%,4.4279210925645,0,47,258,909,0
git@github.com:symfony/dependency-injection.git,v2.1.12,14925,4658,786,0.94%,4.4279210925645,0,47,258,909,0
git@github.com:symfony/dependency-injection.git,v2.1.13,14925,4658,786,0.94%,4.4279210925645,0,47,258,909,0
git@github.com:symfony/dependency-injection.git,v2.2.0,15129,4782,741,0.94%,4.4011976047904,0,47,258,928,0
git@github.com:symfony/dependency-injection.git,v2.2.1,15186,4786,748,0.94%,4.4334828101644,0,47,258,955,0
git@github.com:symfony/dependency-injection.git,v2.2.2,15213,4800,748,0.93%,4.4373134328358,0,47,258,958,0
git@github.com:symfony/dependency-injection.git,v2.2.3,15213,4800,748,0.93%,4.4373134328358,0,47,258,958,0
git@github.com:symfony/dependency-injection.git,v2.2.4,15213,4800,748,0.93%,4.4373134328358,0,47,258,958,0
git@github.com:symfony/dependency-injection.git,v2.2.5,15266,4816,748,0.93%,4.4162962962963,0,47,258,958,0
git@github.com:symfony/dependency-injection.git,v2.2.6,15266,4816,748,0.93%,4.4162962962963,0,47,258,958,0
git@github.com:symfony/dependency-injection.git,v2.2.7,15294,4821,750,0.93%,4.4245562130178,0,47,258,965,0
git@github.com:symfony/dependency-injection.git,v2.2.8,15294,4821,750,0.93%,4.4245562130178,0,47,258,965,0
git@github.com:symfony/dependency-injection.git,v2.2.9,15294,4821,750,0.93%,4.4245562130178,0,47,258,965,0
git@github.com:symfony/dependency-injection.git,v2.2.10,15298,4821,751,0.93%,4.4260355029586,0,47,258,965,0
git@github.com:symfony/dependency-injection.git,v2.2.11,15282,4821,751,0.93%,4.4260355029586,0,47,258,965,0
git@github.com:symfony/dependency-injection.git,v2.3.0,16300,5102,835,0.91%,4.4724186704385,0,47,258,1027,0
git@github.com:symfony/dependency-injection.git,v2.3.1,16329,5096,838,1.02%,4.4936350777935,0,47,258,1024,0
git@github.com:symfony/dependency-injection.git,v2.3.2,16354,5102,838,1.02%,4.4922425952045,0,47,258,1024,0
git@github.com:symfony/dependency-injection.git,v2.3.3,16483,5129,842,1.01%,4.4742698191933,0,47,258,1033,0
git@github.com:symfony/dependency-injection.git,v2.3.4,16483,5129,842,1.01%,4.4742698191933,0,47,258,1033,0
git@github.com:symfony/dependency-injection.git,v2.3.5,16518,5137,849,1.00%,4.4833333333333,0,47,258,1039,0
git@github.com:symfony/dependency-injection.git,v2.3.6,16536,5137,850,1.00%,4.4854368932039,0,47,258,1044,0
git@github.com:symfony/dependency-injection.git,v2.3.7,16577,5137,854,1.00%,4.4868238557559,0,47,258,1048,0
git@github.com:symfony/dependency-injection.git,v2.3.8,16562,5137,854,1.00%,4.4868238557559,0,47,258,1048,0
git@github.com:symfony/dependency-injection.git,v2.3.9,16611,5138,860,1.00%,4.5048409405256,0,47,258,1055,0
git@github.com:symfony/dependency-injection.git,v2.3.10,16611,5138,860,1.00%,4.5048409405256,0,47,258,1055,0
git@github.com:symfony/dependency-injection.git,v2.3.11,16611,5138,860,1.00%,4.5048409405256,0,47,258,1055,0
git@github.com:symfony/dependency-injection.git,v2.3.12,16626,5141,858,1.00%,4.4937931034483,0,47,258,1051,0
git@github.com:symfony/dependency-injection.git,v2.3.13,16623,5141,858,1.00%,4.4910344827586,0,47,258,1051,0
git@github.com:symfony/dependency-injection.git,v2.3.14,16623,5141,858,1.00%,4.4910344827586,0,47,258,1051,0
git@github.com:symfony/dependency-injection.git,v2.3.15,16623,5141,858,1.00%,4.4910344827586,0,47,258,1051,0
git@github.com:symfony/dependency-injection.git,v2.3.16,16623,5141,858,1.00%,4.4910344827586,0,47,258,1051,0
git@github.com:symfony/dependency-injection.git,v2.3.17,16623,5141,858,1.00%,4.4910344827586,0,47,258,1050,0
git@github.com:symfony/dependency-injection.git,v2.3.18,16623,5141,858,1.00%,4.4910344827586,0,47,258,1050,0
git@github.com:symfony/dependency-injection.git,v2.3.19,16764,5160,864,0.99%,4.5041095890411,0,47,258,1080,0
git@github.com:symfony/dependency-injection.git,v2.3.20,16826,5168,871,0.99%,4.5020463847203,0,47,258,1080,0
git@github.com:symfony/dependency-injection.git,v2.3.21,16826,5168,871,0.99%,4.5020463847203,0,47,258,1080,0
git@github.com:symfony/dependency-injection.git,v2.3.22,16909,5129,875,0.98%,4.5284552845528,0,47,258,1106,0
git@github.com:symfony/dependency-injection.git,v2.3.23,17094,5165,893,1.52%,4.5448460508701,0,47,258,1111,0
git@github.com:symfony/dependency-injection.git,v2.3.24,17053,5167,881,1.26%,4.5660377358491,0,47,258,1107,0
git@github.com:symfony/dependency-injection.git,v2.3.25,17051,5167,881,1.26%,4.5646900269542,0,47,258,1107,0
git@github.com:symfony/dependency-injection.git,v2.3.26,17151,5175,881,1.25%,4.5499334221039,0,47,258,1108,0
git@github.com:symfony/dependency-injection.git,v2.3.27,17218,5175,881,1.25%,4.5290237467018,0,47,258,1113,0
git@github.com:symfony/dependency-injection.git,v2.3.28,17208,5168,885,1.24%,4.5376486129458,0,47,258,1115,0
git@github.com:symfony/dependency-injection.git,v2.3.29,17206,5166,885,1.24%,4.5376486129458,0,47,258,1115,0
git@github.com:symfony/dependency-injection.git,v2.3.30,17211,5166,889,1.24%,4.5442536327609,0,47,258,1117,0
git@github.com:symfony/dependency-injection.git,v2.3.31,17225,5171,890,1.24%,4.5395778364116,0,47,258,1119,0
git@github.com:symfony/dependency-injection.git,v2.3.32,17260,5179,894,1.24%,4.5441370223979,0,47,258,1119,0
git@github.com:symfony/dependency-injection.git,v2.3.33,17268,5179,895,1.24%,4.5467720685112,0,47,258,1122,0
git@github.com:symfony/dependency-injection.git,v2.3.34,16862,4770,896,1.27%,4.5467720685112,0,47,258,1125,0
git@github.com:symfony/dependency-injection.git,v2.3.35,16600,4490,896,1.29%,4.5479632063075,0,47,258,1131,0
git@github.com:symfony/dependency-injection.git,v2.3.36,16595,4490,894,1.29%,4.5479632063075,0,47,258,1131,0
git@github.com:symfony/dependency-injection.git,v2.3.37,16595,4490,894,1.29%,4.5492772667543,0,47,258,1131,0
git@github.com:symfony/dependency-injection.git,v2.3.38,16728,4508,901,1.28%,4.5473411154345,0,47,258,1136,0
git@github.com:symfony/dependency-injection.git,v2.3.39,16740,4508,905,1.28%,4.5538261997406,0,47,258,1134,0
git@github.com:symfony/dependency-injection.git,v2.3.40,16716,4459,906,1.28%,4.5829015544041,0,47,258,1133,0
git@github.com:symfony/dependency-injection.git,v2.3.41,16716,4459,906,1.28%,4.5829015544041,0,47,258,1133,0
git@github.com:symfony/dependency-injection.git,v2.3.42,16790,4476,909,1.27%,4.5896774193548,0,47,258,1144,0
git@github.com:symfony/dependency-injection.git,v2.4.0,16676,5179,854,1.00%,4.4826629680999,0,47,258,1061,0
git@github.com:symfony/dependency-injection.git,v2.4.1,16726,5180,861,0.99%,4.5020746887967,0,47,258,1070,0
git@github.com:symfony/dependency-injection.git,v2.4.2,16726,5180,861,0.99%,4.5020746887967,0,47,258,1070,0
git@github.com:symfony/dependency-injection.git,v2.4.3,16747,5183,861,0.99%,4.4937931034483,0,47,258,1070,0
git@github.com:symfony/dependency-injection.git,v2.4.4,16744,5183,861,0.99%,4.4910344827586,0,47,258,1070,0
git@github.com:symfony/dependency-injection.git,v2.4.5,16744,5183,861,0.99%,4.4910344827586,0,47,258,1070,0
git@github.com:symfony/dependency-injection.git,v2.4.6,16744,5183,861,0.99%,4.4910344827586,0,47,258,1070,0
git@github.com:symfony/dependency-injection.git,v2.4.7,16744,5183,861,0.99%,4.4910344827586,0,47,258,1070,0
git@github.com:symfony/dependency-injection.git,v2.4.8,16744,5183,861,0.99%,4.4910344827586,0,47,258,1070,0
git@github.com:symfony/dependency-injection.git,v2.4.9,16887,5202,867,0.98%,4.5054794520548,0,47,258,1100,0
git@github.com:symfony/dependency-injection.git,v2.4.10,16947,5210,876,0.98%,4.5034106412005,0,47,258,1101,0
git@github.com:symfony/dependency-injection.git,v2.5.0,17368,5316,901,0.82%,4.5548128342246,0,47,258,1121,0
git@github.com:symfony/dependency-injection.git,v2.5.1,17368,5316,901,0.82%,4.5548128342246,0,47,258,1121,0
git@github.com:symfony/dependency-injection.git,v2.5.2,17368,5316,901,0.82%,4.5548128342246,0,47,258,1121,0
git@github.com:symfony/dependency-injection.git,v2.5.3,17421,5329,906,0.82%,4.5607476635514,0,47,258,1121,0
git@github.com:symfony/dependency-injection.git,v2.5.4,17514,5336,907,0.81%,4.5697211155378,0,47,258,1151,0
git@github.com:symfony/dependency-injection.git,v2.5.5,17574,5344,916,0.81%,4.5674603174603,0,47,258,1152,0
git@github.com:symfony/dependency-injection.git,v2.5.6,17574,5344,916,0.81%,4.5674603174603,0,47,258,1152,0
git@github.com:symfony/dependency-injection.git,v2.5.7,17657,5305,920,0.80%,4.592641261498,0,47,258,1178,0
git@github.com:symfony/dependency-injection.git,v2.5.8,17842,5341,938,1.06%,4.6077922077922,0,47,258,1183,0
git@github.com:symfony/dependency-injection.git,v2.5.9,17812,5343,940,1.07%,4.625,0,47,258,1179,0
git@github.com:symfony/dependency-injection.git,v2.5.10,17810,5343,940,1.07%,4.6236979166667,0,47,258,1179,0
git@github.com:symfony/dependency-injection.git,v2.5.11,17810,5343,940,1.07%,4.6236979166667,0,47,258,1179,0
git@github.com:symfony/dependency-injection.git,v2.5.12,17810,5343,940,1.07%,4.6236979166667,0,47,258,1179,0
git@github.com:symfony/dependency-injection.git,v2.6.0,18263,5448,967,0.55%,4.6032953105196,0,47,258,1239,0
git@github.com:symfony/dependency-injection.git,v2.6.1,18375,5462,984,0.76%,4.624685138539,0,47,258,1241,0
git@github.com:symfony/dependency-injection.git,v2.6.2,18448,5513,995,1.04%,4.613266583229,0,47,258,1224,0
git@github.com:symfony/dependency-injection.git,v2.6.3,18448,5513,995,1.04%,4.613266583229,0,47,258,1224,0
git@github.com:symfony/dependency-injection.git,v2.6.4,18497,5513,997,1.04%,4.6145181476846,0,47,258,1237,0
git@github.com:symfony/dependency-injection.git,v2.6.5,18725,5560,1000,1.40%,4.6044226044226,0,47,258,1252,0
git@github.com:symfony/dependency-injection.git,v2.6.6,18758,5572,1000,1.51%,4.5992647058824,0,47,258,1251,0
git@github.com:symfony/dependency-injection.git,v2.6.7,18749,5565,1004,1.51%,4.6073619631902,0,47,258,1254,0
git@github.com:symfony/dependency-injection.git,v2.6.8,18747,5563,1004,1.51%,4.6073619631902,0,47,258,1254,0
git@github.com:symfony/dependency-injection.git,v2.6.9,18752,5563,1008,1.51%,4.6134969325153,0,47,258,1256,0
git@github.com:symfony/dependency-injection.git,v2.6.10,18818,5571,1011,1.50%,4.6117216117216,0,47,258,1264,0
git@github.com:symfony/dependency-injection.git,v2.6.11,18817,5570,1011,1.50%,4.6117216117216,0,47,258,1264,0
git@github.com:symfony/dependency-injection.git,v2.6.12,18817,5570,1011,1.50%,4.6117216117216,0,47,258,1264,0
git@github.com:symfony/dependency-injection.git,v2.6.13,18817,5570,1011,1.50%,4.6117216117216,0,47,258,1264,0
git@github.com:symfony/dependency-injection.git,v2.7.0,19207,5604,1036,0.72%,4.7,0,47,258,1314,0
git@github.com:symfony/dependency-injection.git,v2.7.1,19228,5605,1039,0.72%,4.710843373494,0,47,258,1320,0
git@github.com:symfony/dependency-injection.git,v2.7.2,19256,5613,1042,0.72%,4.7007211538462,0,47,258,1327,0
git@github.com:symfony/dependency-injection.git,v2.7.3,19271,5621,1042,0.72%,4.6974789915966,0,47,258,1327,0
git@github.com:symfony/dependency-injection.git,v2.7.4,19313,5643,1046,0.71%,4.703481392557,0,47,258,1327,0
git@github.com:symfony/dependency-injection.git,v2.7.5,19396,5655,1050,0.71%,4.6989247311828,0,47,258,1334,0
git@github.com:symfony/dependency-injection.git,v2.7.6,19004,5263,1050,0.73%,4.6977299880526,0,47,258,1336,0
git@github.com:symfony/dependency-injection.git,v2.7.7,18734,4975,1050,0.74%,4.6984505363528,0,47,258,1342,0
git@github.com:symfony/dependency-injection.git,v2.7.8,18767,4982,1055,0.74%,4.6991676575505,0,47,258,1343,0
git@github.com:symfony/dependency-injection.git,v2.7.9,18767,4982,1055,0.74%,4.7003567181926,0,47,258,1343,0
git@github.com:symfony/dependency-injection.git,v2.7.10,18973,5002,1072,0.73%,4.7052631578947,0,47,258,1353,0
git@github.com:symfony/dependency-injection.git,v2.7.11,18999,5006,1078,0.73%,4.7091121495327,0,47,258,1352,0
git@github.com:symfony/dependency-injection.git,v2.7.12,18973,4960,1077,0.73%,4.7316219369895,0,47,258,1349,0
git@github.com:symfony/dependency-injection.git,v2.7.13,18974,4960,1077,0.73%,4.7316219369895,0,47,258,1349,0
git@github.com:symfony/dependency-injection.git,v2.7.14,19056,4980,1080,0.72%,4.732868757259,0,47,258,1360,0
