repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/dotenv.git,v3.3.0,642,119,61,0.00%,4.9545454545455,0,4,19,13,0
git@github.com:symfony/dotenv.git,v3.3.1,642,119,61,0.00%,4.9545454545455,0,4,19,13,0
git@github.com:symfony/dotenv.git,v3.3.2,642,119,61,0.00%,4.9545454545455,0,4,19,13,0
git@github.com:symfony/dotenv.git,v3.3.3,721,119,73,0.00%,6.0833333333333,0,4,19,21,0
git@github.com:symfony/dotenv.git,v3.3.4,721,119,73,0.00%,6.0833333333333,0,4,19,21,0
git@github.com:symfony/dotenv.git,v3.3.5,723,119,73,0.00%,6.125,0,4,19,21,0
git@github.com:symfony/dotenv.git,v3.3.6,723,119,73,0.00%,6.125,0,4,19,21,0
git@github.com:symfony/dotenv.git,v3.3.7,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.8,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.9,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.10,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.11,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.12,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.13,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.14,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.15,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.16,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.17,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.3.18,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.0,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.1,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.2,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.3,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.4,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.5,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.6,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.7,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.8,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.9,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.10,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.11,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.12,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.13,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.14,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.15,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.16,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.17,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.18,816,122,78,0.00%,7.3333333333333,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.19,839,125,82,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.20,839,125,82,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v3.4.21,839,125,82,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v4.0.0,817,120,78,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v4.0.1,817,120,78,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v4.0.2,817,120,78,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v4.0.3,817,120,78,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v4.0.4,817,120,78,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v4.0.5,817,120,78,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v4.0.6,817,120,78,0.00%,7.3703703703704,0,4,19,28,0
git@github.com:symfony/dotenv.git,v4.0.7,817,120,78,0.00%,7.3703703703704,0,4,19,28,0
