repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/flex.git,v1.0.0,2042,288,187,0.00%,4.020202020202,0,96,44,120,0
git@github.com:symfony/flex.git,v1.0.1,2127,296,191,0.00%,4.0505050505051,0,96,44,133,0
git@github.com:symfony/flex.git,v1.0.2,2208,303,196,0.00%,4.16,0,96,44,138,0
git@github.com:symfony/flex.git,v1.0.3,2222,303,196,0.00%,4.1683168316832,0,96,44,139,0
git@github.com:symfony/flex.git,v1.0.4,2341,309,224,0.00%,4.2788461538462,0,96,44,153,0
git@github.com:symfony/flex.git,v1.0.5,2344,309,225,0.00%,4.2884615384615,0,96,44,153,0
git@github.com:symfony/flex.git,v1.0.6,2346,309,226,0.00%,4.2884615384615,0,96,44,153,0
git@github.com:symfony/flex.git,v1.0.7,2358,309,227,0.00%,4.2666666666667,0,96,44,155,0
git@github.com:symfony/flex.git,v1.0.8,2384,309,231,0.00%,4.2523364485981,0,96,44,157,0
git@github.com:symfony/flex.git,v1.0.9,2406,312,236,0.00%,4.4181818181818,0,96,44,159,0
git@github.com:symfony/flex.git,v1.0.10,2406,312,236,0.00%,4.4181818181818,0,96,44,160,0
git@github.com:symfony/flex.git,v1.0.11,2406,312,236,0.00%,4.4181818181818,0,96,44,160,0
git@github.com:symfony/flex.git,v1.0.12,2406,312,236,0.00%,4.4090909090909,0,96,44,160,0
git@github.com:symfony/flex.git,v1.0.13,2406,312,236,0.00%,4.4090909090909,0,96,44,160,0
git@github.com:symfony/flex.git,v1.0.14,2387,312,231,0.00%,4.394495412844,0,96,44,160,0
git@github.com:symfony/flex.git,v1.0.15,2409,312,231,0.00%,4.4403669724771,0,96,44,161,0
git@github.com:symfony/flex.git,v1.0.16,2418,312,232,0.00%,4.4403669724771,0,96,44,162,0
git@github.com:symfony/flex.git,v1.0.17,2418,312,232,0.00%,4.4403669724771,0,96,44,162,0
git@github.com:symfony/flex.git,v1.0.18,2773,336,242,0.00%,4.9067796610169,0,96,44,188,0
git@github.com:symfony/flex.git,v1.0.19,2773,336,242,0.00%,4.9067796610169,0,96,44,188,0
git@github.com:symfony/flex.git,v1.0.20,2796,336,248,0.00%,4.8260869565217,0,96,44,193,0
git@github.com:symfony/flex.git,v1.0.21,2798,336,239,0.00%,4.8260869565217,0,96,44,194,0
git@github.com:symfony/flex.git,v1.0.22,2804,336,240,0.00%,4.8434782608696,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.23,2807,339,240,0.00%,4.8434782608696,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.24,2807,339,240,0.00%,4.8434782608696,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.25,2827,343,242,0.00%,4.7863247863248,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.26,2842,343,244,0.00%,4.7948717948718,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.27,2841,343,244,0.00%,4.7948717948718,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.28,2841,343,244,0.00%,4.7948717948718,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.29,2841,343,244,0.00%,4.7948717948718,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.30,2695,324,239,0.00%,4.6140350877193,0,96,44,187,6
git@github.com:symfony/flex.git,v1.0.31,2688,324,238,0.00%,4.5877192982456,0,96,44,184,6
git@github.com:symfony/flex.git,v1.0.32,2688,324,238,0.00%,4.5877192982456,0,96,44,184,6
git@github.com:symfony/flex.git,v1.0.33,2688,324,238,0.00%,4.5877192982456,0,96,44,184,6
git@github.com:symfony/flex.git,v1.0.34,2906,352,249,0.00%,4.702479338843,0,96,44,201,6
git@github.com:symfony/flex.git,v1.0.35,2902,352,248,0.00%,4.6942148760331,0,96,44,198,6
git@github.com:symfony/flex.git,v1.0.36,2906,352,249,0.00%,4.702479338843,0,96,44,201,6
git@github.com:symfony/flex.git,v1.0.37,2898,352,247,0.00%,4.6859504132231,0,96,44,195,6
git@github.com:symfony/flex.git,v1.0.38,2902,352,248,0.00%,4.6942148760331,0,96,44,195,6
git@github.com:symfony/flex.git,v1.0.39,2937,352,249,0.00%,4.7786885245902,0,96,44,201,6
git@github.com:symfony/flex.git,v1.0.40,2937,352,249,0.00%,4.7786885245902,0,96,44,201,6
git@github.com:symfony/flex.git,v1.0.41,3086,352,258,0.00%,4.96,0,96,44,209,6
git@github.com:symfony/flex.git,v1.0.42,3086,352,259,0.00%,4.96,0,96,44,209,6
git@github.com:symfony/flex.git,v1.0.43,3086,352,259,0.00%,4.96,0,96,44,209,6
git@github.com:symfony/flex.git,v1.0.44,3087,352,259,0.00%,4.968,0,96,44,209,6
git@github.com:symfony/flex.git,v1.0.45,3095,352,260,0.00%,4.976,0,96,44,209,7
git@github.com:symfony/flex.git,v1.0.46,3126,353,263,0.00%,4.984,0,96,44,220,7
git@github.com:symfony/flex.git,v1.0.47,3136,353,268,0.00%,5.008,0,96,44,223,7
git@github.com:symfony/flex.git,v1.0.48,3152,353,270,0.00%,5.064,0,96,44,222,7
git@github.com:symfony/flex.git,v1.0.49,3183,359,274,0.00%,5.0952380952381,0,96,44,225,7
git@github.com:symfony/flex.git,v1.0.50,3186,360,274,0.00%,5.1031746031746,0,96,44,225,7
git@github.com:symfony/flex.git,v1.0.51,3504,402,300,0.00%,5.063829787234,0,96,44,263,7
git@github.com:symfony/flex.git,v1.0.52,3505,402,301,0.00%,5.063829787234,0,96,44,263,7
git@github.com:symfony/flex.git,v1.0.53,3516,403,304,0.00%,5.0851063829787,0,96,44,264,7
git@github.com:symfony/flex.git,v1.0.54,3717,417,330,0.00%,5.1241379310345,0,96,44,285,7
git@github.com:symfony/flex.git,v1.0.55,3738,417,335,0.00%,5.0958904109589,0,96,44,286,7
