repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/framework-bundle.git,v2.0.7,9376,2530,466,0.70%,4.0221606648199,0,65,507,1068,2
git@github.com:symfony/framework-bundle.git,v2.0.9,9822,2618,487,0.67%,4.0077720207254,0,65,507,1085,2
git@github.com:symfony/framework-bundle.git,v2.0.10,9820,2618,487,0.67%,4.0103626943005,0,65,507,1085,2
git@github.com:symfony/framework-bundle.git,v2.0.12,9937,2626,495,0.66%,4.0409207161125,0,65,507,1089,2
git@github.com:symfony/framework-bundle.git,v2.0.13,9978,2627,498,0.66%,4.0406091370558,0,65,507,1091,2
git@github.com:symfony/framework-bundle.git,v2.0.14,9981,2630,498,0.66%,4.0406091370558,0,65,507,1091,2
git@github.com:symfony/framework-bundle.git,v2.0.15,10072,2638,499,0.66%,4.0755667506297,0,65,507,1125,2
git@github.com:symfony/framework-bundle.git,v2.0.16,10067,2638,499,0.66%,4.0755667506297,0,65,507,1125,2
git@github.com:symfony/framework-bundle.git,v2.0.17,10124,2646,500,0.65%,4.075,0,65,507,1129,2
git@github.com:symfony/framework-bundle.git,v2.0.18,10124,2646,500,0.65%,4.075,0,65,507,1129,2
git@github.com:symfony/framework-bundle.git,v2.0.19,10276,2651,510,0.64%,4.1182266009852,0,65,507,1173,2
git@github.com:symfony/framework-bundle.git,v2.0.20,10479,2698,525,0.63%,4.1086956521739,0,65,507,1201,2
git@github.com:symfony/framework-bundle.git,v2.0.21,10487,2698,530,0.63%,4.1135265700483,0,65,507,1204,2
git@github.com:symfony/framework-bundle.git,v2.0.22,10487,2698,530,0.63%,4.1135265700483,0,65,507,1204,2
git@github.com:symfony/framework-bundle.git,v2.0.23,10487,2698,530,0.63%,4.1135265700483,0,65,507,1204,2
git@github.com:symfony/framework-bundle.git,v2.0.24,10499,2698,531,0.63%,4.1183574879227,0,65,507,1208,2
git@github.com:symfony/framework-bundle.git,v2.0.25,10499,2698,531,0.63%,4.1183574879227,0,65,507,1208,2
git@github.com:symfony/framework-bundle.git,v2.1.0,11170,2895,545,0.84%,4.0992736077482,0,65,507,1431,1
git@github.com:symfony/framework-bundle.git,v2.1.1,11170,2895,545,0.84%,4.0992736077482,0,65,507,1431,1
git@github.com:symfony/framework-bundle.git,v2.1.2,11170,2895,545,0.84%,4.0992736077482,0,65,507,1431,1
git@github.com:symfony/framework-bundle.git,v2.1.3,11178,2895,549,0.84%,4.1065375302663,0,65,507,1433,1
git@github.com:symfony/framework-bundle.git,v2.1.4,11325,2900,560,0.83%,4.1479713603819,0,65,507,1477,1
git@github.com:symfony/framework-bundle.git,v2.1.5,11548,2954,574,0.81%,4.1441860465116,0,65,507,1481,1
git@github.com:symfony/framework-bundle.git,v2.1.6,11560,2954,581,0.81%,4.1511627906977,0,65,507,1485,1
git@github.com:symfony/framework-bundle.git,v2.1.7,11560,2954,581,0.81%,4.1511627906977,0,65,507,1485,1
git@github.com:symfony/framework-bundle.git,v2.1.8,11560,2952,582,0.81%,4.153488372093,0,65,507,1485,1
git@github.com:symfony/framework-bundle.git,v2.1.9,11585,2975,584,0.81%,4.1651162790698,0,65,507,1475,1
git@github.com:symfony/framework-bundle.git,v2.1.10,11586,2975,584,0.81%,4.1491841491841,0,65,507,1475,1
git@github.com:symfony/framework-bundle.git,v2.1.11,11586,2975,584,0.81%,4.1491841491841,0,65,507,1475,1
git@github.com:symfony/framework-bundle.git,v2.1.12,11598,2975,585,0.81%,4.1538461538462,0,65,507,1479,1
git@github.com:symfony/framework-bundle.git,v2.1.13,11598,2975,585,0.81%,4.1538461538462,0,65,507,1479,1
git@github.com:symfony/framework-bundle.git,v2.2.0,11406,2953,554,0.65%,4.0589622641509,0,65,507,1410,1
git@github.com:symfony/framework-bundle.git,v2.2.1,11444,2979,555,0.65%,4.0823529411765,0,65,507,1393,1
git@github.com:symfony/framework-bundle.git,v2.2.2,11445,2979,555,0.65%,4.0660377358491,0,65,507,1393,1
git@github.com:symfony/framework-bundle.git,v2.2.3,11450,2979,556,0.65%,4.0683962264151,0,65,507,1393,1
git@github.com:symfony/framework-bundle.git,v2.2.4,11570,3003,557,0.85%,4.0675990675991,0,65,507,1400,1
git@github.com:symfony/framework-bundle.git,v2.2.5,11585,3006,558,0.85%,4.0722610722611,0,65,507,1404,1
git@github.com:symfony/framework-bundle.git,v2.2.6,11657,3017,559,0.84%,4.0648148148148,0,65,507,1413,1
git@github.com:symfony/framework-bundle.git,v2.2.7,11709,3030,561,0.84%,4.0760368663594,0,65,507,1424,1
git@github.com:symfony/framework-bundle.git,v2.2.8,11709,3030,561,0.84%,4.0760368663594,0,65,507,1424,1
git@github.com:symfony/framework-bundle.git,v2.2.9,11732,3034,562,0.84%,4.0850574712644,0,65,507,1427,1
git@github.com:symfony/framework-bundle.git,v2.2.10,11738,3039,561,0.83%,4.0688073394495,0,65,507,1341,1
git@github.com:symfony/framework-bundle.git,v2.2.11,11742,3039,562,0.83%,4.0711009174312,0,65,507,1341,1
git@github.com:symfony/framework-bundle.git,v2.3.0,11992,3103,601,0.74%,4.0352422907489,0,65,507,1438,2
git@github.com:symfony/framework-bundle.git,v2.3.1,12008,3103,601,0.74%,4.0351648351648,0,65,507,1440,2
git@github.com:symfony/framework-bundle.git,v2.3.2,12128,3127,603,0.93%,4.0369565217391,0,65,507,1447,2
git@github.com:symfony/framework-bundle.git,v2.3.3,12172,3132,606,0.93%,4.045652173913,0,65,507,1466,2
