repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/http-foundation.git,v2.0.0,6025,2448,384,0.00%,3.0193798449612,0,194,386,172,0
git@github.com:symfony/http-foundation.git,v2.0.1,6025,2448,383,0.00%,3.0271317829457,0,194,386,172,0
git@github.com:symfony/http-foundation.git,v2.0.4,6040,2454,385,0.00%,3.019305019305,0,194,386,172,0
git@github.com:symfony/http-foundation.git,v2.0.5,6042,2457,386,0.00%,3.023166023166,0,194,386,172,0
git@github.com:symfony/http-foundation.git,v2.0.6,6040,2457,387,0.00%,3.015444015444,0,194,386,172,0
git@github.com:symfony/http-foundation.git,v2.0.7,6055,2457,389,0.00%,3.007662835249,0,194,386,173,0
git@github.com:symfony/http-foundation.git,v2.0.9,6065,2465,391,0.00%,3.007662835249,0,194,386,173,0
git@github.com:symfony/http-foundation.git,v2.0.10,6072,2468,392,0.00%,3.0114942528736,0,194,386,174,0
git@github.com:symfony/http-foundation.git,v2.0.12,6096,2492,392,0.00%,3.0114942528736,0,194,386,174,0
git@github.com:symfony/http-foundation.git,v2.0.13,6096,2492,392,0.00%,3.0114942528736,0,194,386,173,0
git@github.com:symfony/http-foundation.git,v2.0.14,6096,2492,392,0.00%,3.0114942528736,0,194,386,173,0
git@github.com:symfony/http-foundation.git,v2.0.15,6130,2505,398,0.00%,3.0421455938697,0,194,386,177,0
git@github.com:symfony/http-foundation.git,v2.0.16,6130,2505,399,0.00%,3.0421455938697,0,194,386,177,0
git@github.com:symfony/http-foundation.git,v2.0.17,6146,2508,401,0.00%,3.0613026819923,0,194,386,177,0
git@github.com:symfony/http-foundation.git,v2.0.18,6159,2511,407,0.00%,3.0727969348659,0,194,386,183,0
git@github.com:symfony/http-foundation.git,v2.0.19,6336,2632,414,0.00%,3.0909090909091,0,194,386,198,0
git@github.com:symfony/http-foundation.git,v2.0.20,6362,2636,417,0.00%,3.1094339622642,0,194,386,201,0
git@github.com:symfony/http-foundation.git,v2.0.21,6362,2636,417,0.00%,3.1094339622642,0,194,386,201,0
git@github.com:symfony/http-foundation.git,v2.0.22,6364,2637,419,0.00%,3.1094339622642,0,194,386,201,0
git@github.com:symfony/http-foundation.git,v2.0.23,6372,2638,419,0.00%,3.1320754716981,0,194,386,201,0
git@github.com:symfony/http-foundation.git,v2.0.24,6426,2658,423,0.00%,3.1390977443609,0,194,386,203,0
git@github.com:symfony/http-foundation.git,v2.0.25,6426,2658,423,0.00%,3.1390977443609,0,194,386,203,0
git@github.com:symfony/http-foundation.git,v2.1.0,16369,5157,566,0.59%,3.65625,0,194,386,574,0
git@github.com:symfony/http-foundation.git,v2.1.1,16369,5157,566,0.59%,3.65625,0,194,386,574,0
git@github.com:symfony/http-foundation.git,v2.1.2,16369,5157,566,0.59%,3.65625,0,194,386,575,0
git@github.com:symfony/http-foundation.git,v2.1.3,16438,5170,573,0.59%,3.6913294797688,0,194,386,586,0
git@github.com:symfony/http-foundation.git,v2.1.4,16646,5263,578,0.58%,3.7244546498278,0,194,386,604,0
git@github.com:symfony/http-foundation.git,v2.1.5,16726,5288,588,0.58%,3.7303754266212,0,194,386,586,0
git@github.com:symfony/http-foundation.git,v2.1.6,16726,5288,588,0.58%,3.7303754266212,0,194,386,586,0
git@github.com:symfony/http-foundation.git,v2.1.7,16756,5299,591,0.58%,3.745164960182,0,194,386,597,0
git@github.com:symfony/http-foundation.git,v2.1.8,16843,5311,595,0.58%,3.7920454545455,0,194,386,622,0
git@github.com:symfony/http-foundation.git,v2.1.9,16862,5311,598,0.58%,3.8034090909091,0,194,386,627,0
git@github.com:symfony/http-foundation.git,v2.1.10,16998,5311,600,0.57%,3.827664399093,0,194,386,633,0
git@github.com:symfony/http-foundation.git,v2.1.11,16998,5311,600,0.57%,3.827664399093,0,194,386,633,0
git@github.com:symfony/http-foundation.git,v2.1.12,17083,5337,605,0.57%,3.8393665158371,0,194,386,642,0
git@github.com:symfony/http-foundation.git,v2.1.13,17083,5337,605,0.57%,3.8393665158371,0,194,386,642,0
git@github.com:symfony/http-foundation.git,v2.2.0,18397,5763,640,0.53%,3.8045267489712,0,194,386,679,0
git@github.com:symfony/http-foundation.git,v2.2.1,18416,5763,643,0.53%,3.8148148148148,0,194,386,684,0
git@github.com:symfony/http-foundation.git,v2.2.2,18589,5772,645,0.52%,3.8290685772774,0,194,386,690,0
git@github.com:symfony/http-foundation.git,v2.2.3,18597,5773,645,0.52%,3.8341862845445,0,194,386,690,0
git@github.com:symfony/http-foundation.git,v2.2.4,18601,5773,646,0.52%,3.835209825998,0,194,386,692,0
git@github.com:symfony/http-foundation.git,v2.2.5,18681,5796,651,0.52%,3.8457609805924,0,194,386,701,0
git@github.com:symfony/http-foundation.git,v2.2.6,18705,5796,657,0.45%,3.841997961264,0,194,386,702,0
git@github.com:symfony/http-foundation.git,v2.2.7,18805,5794,667,0.45%,3.8770325203252,0,194,386,714,0
git@github.com:symfony/http-foundation.git,v2.2.8,18805,5794,667,0.45%,3.8770325203252,0,194,386,714,0
git@github.com:symfony/http-foundation.git,v2.2.9,18812,5795,667,0.45%,3.8810975609756,0,194,386,716,0
git@github.com:symfony/http-foundation.git,v2.2.10,18815,5795,667,0.45%,3.8841463414634,0,194,386,716,0
git@github.com:symfony/http-foundation.git,v2.2.11,18819,5795,668,0.45%,3.8861788617886,0,194,386,716,0
git@github.com:symfony/http-foundation.git,v2.3.0,19008,5889,668,0.51%,3.8286290322581,0,194,386,694,0
git@github.com:symfony/http-foundation.git,v2.3.1,19008,5889,668,0.51%,3.8286290322581,0,194,386,694,0
git@github.com:symfony/http-foundation.git,v2.3.2,19015,5890,669,0.51%,3.8346774193548,0,194,386,696,0
git@github.com:symfony/http-foundation.git,v2.3.3,19095,5913,674,0.51%,3.8450704225352,0,194,386,705,0
git@github.com:symfony/http-foundation.git,v2.3.4,19119,5913,680,0.44%,3.8413654618474,0,194,386,706,0
git@github.com:symfony/http-foundation.git,v2.3.5,19228,5911,695,0.44%,3.8808808808809,0,194,386,721,0
git@github.com:symfony/http-foundation.git,v2.3.6,19235,5912,695,0.44%,3.8848848848849,0,194,386,723,0
git@github.com:symfony/http-foundation.git,v2.3.7,19246,5924,695,0.44%,3.8868868868869,0,194,386,723,0
git@github.com:symfony/http-foundation.git,v2.3.8,19249,5924,695,0.44%,3.8878878878879,0,194,386,722,0
git@github.com:symfony/http-foundation.git,v2.3.9,19364,5956,707,0.43%,3.8935323383085,0,194,386,729,0
git@github.com:symfony/http-foundation.git,v2.3.10,19361,5957,707,0.43%,3.8915422885572,0,194,386,729,0
git@github.com:symfony/http-foundation.git,v2.3.11,19361,5957,707,0.43%,3.8915422885572,0,194,386,729,0
git@github.com:symfony/http-foundation.git,v2.3.12,19372,5957,706,0.43%,3.8995024875622,0,194,386,732,0
git@github.com:symfony/http-foundation.git,v2.3.13,19331,5945,709,0.43%,3.9079079079079,0,194,386,729,0
git@github.com:symfony/http-foundation.git,v2.3.14,19545,6034,720,0.43%,3.9570858283433,0,194,386,730,0
git@github.com:symfony/http-foundation.git,v2.3.15,19333,5945,710,0.43%,3.9079079079079,0,194,386,729,0
git@github.com:symfony/http-foundation.git,v2.3.16,19333,5945,710,0.43%,3.9079079079079,0,194,386,729,0
git@github.com:symfony/http-foundation.git,v2.3.17,19433,5990,714,0.43%,3.9034825870647,0,194,386,723,0
git@github.com:symfony/http-foundation.git,v2.3.18,19437,5990,714,0.43%,3.9074626865672,0,194,386,727,0
