repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/http-kernel.git,v2.0.0,7395,2927,451,0.00%,3.2341772151899,0,50,316,394,0
git@github.com:symfony/http-kernel.git,v2.0.1,7408,2927,454,0.00%,3.2302839116719,0,50,316,398,0
git@github.com:symfony/http-kernel.git,v2.0.4,7417,2930,459,0.00%,3.2365930599369,0,50,316,400,0
git@github.com:symfony/http-kernel.git,v2.0.5,7457,2937,464,0.00%,3.2601880877743,0,50,316,402,0
git@github.com:symfony/http-kernel.git,v2.0.6,7460,2937,465,0.00%,3.2633228840125,0,50,316,404,0
git@github.com:symfony/http-kernel.git,v2.0.7,7458,2937,466,0.00%,3.2633228840125,0,50,316,404,0
git@github.com:symfony/http-kernel.git,v2.0.9,7477,2940,466,0.00%,3.2633228840125,0,50,316,404,0
git@github.com:symfony/http-kernel.git,v2.0.10,7478,2940,466,0.00%,3.2664576802508,0,50,316,404,0
git@github.com:symfony/http-kernel.git,v2.0.12,7479,2940,466,0.00%,3.269592476489,0,50,316,404,0
git@github.com:symfony/http-kernel.git,v2.0.13,7505,2944,470,0.00%,3.278125,0,50,316,403,0
git@github.com:symfony/http-kernel.git,v2.0.14,7510,2944,470,0.00%,3.278125,0,50,316,403,0
git@github.com:symfony/http-kernel.git,v2.0.15,7507,2944,470,0.00%,3.278125,0,50,316,403,0
git@github.com:symfony/http-kernel.git,v2.0.16,7503,2944,470,0.00%,3.278125,0,50,316,403,0
git@github.com:symfony/http-kernel.git,v2.0.17,7503,2944,470,0.00%,3.278125,0,50,316,403,0
git@github.com:symfony/http-kernel.git,v2.0.18,7544,2951,476,0.00%,3.2959501557632,0,50,316,410,0
git@github.com:symfony/http-kernel.git,v2.0.19,7550,2955,477,0.00%,3.2990654205607,0,50,316,410,0
git@github.com:symfony/http-kernel.git,v2.0.20,7550,2955,478,0.00%,3.2990654205607,0,50,316,410,0
git@github.com:symfony/http-kernel.git,v2.0.21,7550,2955,478,0.00%,3.2990654205607,0,50,316,410,0
git@github.com:symfony/http-kernel.git,v2.0.22,7550,2955,478,0.00%,3.2990654205607,0,50,316,410,0
git@github.com:symfony/http-kernel.git,v2.0.23,7550,2955,478,0.00%,3.2990654205607,0,50,316,410,0
git@github.com:symfony/http-kernel.git,v2.0.24,7550,2955,478,0.00%,3.2990654205607,0,50,316,410,0
git@github.com:symfony/http-kernel.git,v2.0.25,7550,2955,478,0.00%,3.2990654205607,0,50,316,410,0
git@github.com:symfony/http-kernel.git,v2.1.0,17372,4782,841,1.11%,3.8333333333333,0,50,316,1149,0
git@github.com:symfony/http-kernel.git,v2.1.1,17372,4782,841,1.11%,3.8333333333333,0,50,316,1149,0
git@github.com:symfony/http-kernel.git,v2.1.2,17372,4782,841,1.11%,3.8333333333333,0,50,316,1148,0
git@github.com:symfony/http-kernel.git,v2.1.3,17454,4791,846,1.10%,3.8321596244131,0,50,316,1156,0
git@github.com:symfony/http-kernel.git,v2.1.4,17507,4803,847,1.10%,3.8292397660819,0,50,316,1161,0
git@github.com:symfony/http-kernel.git,v2.1.5,17511,4803,850,1.10%,3.8315789473684,0,50,316,1161,0
git@github.com:symfony/http-kernel.git,v2.1.6,17511,4803,850,1.10%,3.8315789473684,0,50,316,1161,0
git@github.com:symfony/http-kernel.git,v2.1.7,17503,4803,848,0.79%,3.839953271028,0,50,316,1155,0
git@github.com:symfony/http-kernel.git,v2.1.8,17589,4810,850,0.79%,3.8356481481481,0,50,316,1166,0
git@github.com:symfony/http-kernel.git,v2.1.9,17614,4812,854,0.79%,3.8404624277457,0,50,316,1166,0
git@github.com:symfony/http-kernel.git,v2.1.10,17724,4819,859,0.78%,3.8574712643678,0,50,316,1178,0
git@github.com:symfony/http-kernel.git,v2.1.11,17724,4819,859,0.78%,3.8574712643678,0,50,316,1179,0
git@github.com:symfony/http-kernel.git,v2.1.12,17724,4819,859,0.78%,3.8574712643678,0,50,316,1179,0
git@github.com:symfony/http-kernel.git,v2.1.13,17724,4819,859,0.78%,3.8574712643678,0,50,316,1179,0
git@github.com:symfony/http-kernel.git,v2.2.0,19931,5482,951,0.96%,3.7769477054429,0,50,316,1357,0
git@github.com:symfony/http-kernel.git,v2.2.1,19980,5489,954,0.96%,3.7725823591923,0,50,316,1358,0
git@github.com:symfony/http-kernel.git,v2.2.2,20122,5496,960,0.95%,3.7896405919662,0,50,316,1382,0
git@github.com:symfony/http-kernel.git,v2.2.3,20140,5501,961,0.95%,3.7856388595565,0,50,316,1384,0
git@github.com:symfony/http-kernel.git,v2.2.4,20160,5506,962,0.95%,3.7900843881857,0,50,316,1392,0
git@github.com:symfony/http-kernel.git,v2.2.5,20166,5506,964,0.95%,3.792194092827,0,50,316,1392,0
git@github.com:symfony/http-kernel.git,v2.2.6,20206,5515,967,0.95%,3.7974683544304,0,50,316,1396,0
git@github.com:symfony/http-kernel.git,v2.2.7,20231,5520,970,0.94%,3.799789251844,0,50,316,1402,0
git@github.com:symfony/http-kernel.git,v2.2.8,20231,5520,970,0.94%,3.799789251844,0,50,316,1402,0
git@github.com:symfony/http-kernel.git,v2.2.9,20248,5520,971,0.94%,3.7978947368421,0,50,316,1403,0
git@github.com:symfony/http-kernel.git,v2.2.10,20247,5520,971,0.94%,3.7978947368421,0,50,316,1403,0
git@github.com:symfony/http-kernel.git,v2.2.11,20249,5520,972,0.94%,3.7989473684211,0,50,316,1403,0
git@github.com:symfony/http-kernel.git,v2.3.0,19632,5499,923,0.86%,3.8129812981298,0,50,316,1411,0
git@github.com:symfony/http-kernel.git,v2.3.1,19650,5504,924,0.86%,3.8087912087912,0,50,316,1413,0
git@github.com:symfony/http-kernel.git,v2.3.2,19667,5509,925,0.86%,3.8133918770582,0,50,316,1420,0
git@github.com:symfony/http-kernel.git,v2.3.3,19673,5509,927,0.86%,3.8155872667398,0,50,316,1420,0
git@github.com:symfony/http-kernel.git,v2.3.4,19746,5518,932,0.86%,3.8214676889376,0,50,316,1429,0
git@github.com:symfony/http-kernel.git,v2.3.5,19822,5531,942,0.85%,3.8340611353712,0,50,316,1447,0
git@github.com:symfony/http-kernel.git,v2.3.6,19857,5535,944,0.85%,3.8333333333333,0,50,316,1451,0
git@github.com:symfony/http-kernel.git,v2.3.7,19858,5535,944,0.85%,3.8344226579521,0,50,316,1451,0
git@github.com:symfony/http-kernel.git,v2.3.8,19877,5535,945,0.85%,3.8355119825708,0,50,316,1454,0
git@github.com:symfony/http-kernel.git,v2.3.9,19869,5535,945,0.85%,3.8355119825708,0,50,316,1454,0
git@github.com:symfony/http-kernel.git,v2.3.10,19868,5538,948,0.85%,3.829162132753,0,50,316,1449,0
git@github.com:symfony/http-kernel.git,v2.3.11,19926,5546,950,0.85%,3.826464208243,0,50,316,1453,0
git@github.com:symfony/http-kernel.git,v2.3.12,20026,5555,952,0.84%,3.8467309753483,0,50,316,1455,0
git@github.com:symfony/http-kernel.git,v2.3.13,20056,5556,952,0.84%,3.8304904051173,0,50,316,1453,0
git@github.com:symfony/http-kernel.git,v2.3.14,20260,5563,959,0.99%,3.916313559322,0,50,316,1474,2
git@github.com:symfony/http-kernel.git,v2.3.15,20260,5563,959,0.99%,3.916313559322,0,50,316,1474,2
git@github.com:symfony/http-kernel.git,v2.3.16,20172,5558,953,0.99%,3.9096705632306,0,50,316,1466,0
git@github.com:symfony/http-kernel.git,v2.3.17,20174,5558,954,0.99%,3.9096705632306,0,50,316,1466,0
git@github.com:symfony/http-kernel.git,v2.3.18,20174,5558,954,0.99%,3.9096705632306,0,50,316,1466,0
git@github.com:symfony/http-kernel.git,v2.3.19,20225,5569,955,0.99%,3.9120762711864,0,50,316,1468,0
git@github.com:symfony/http-kernel.git,v2.3.20,20248,5571,956,0.90%,3.9143763213531,0,50,316,1469,0
git@github.com:symfony/http-kernel.git,v2.3.21,20257,5571,956,0.90%,3.9143763213531,0,50,316,1469,0
git@github.com:symfony/http-kernel.git,v2.3.22,20337,5619,960,0.90%,3.912447257384,0,50,316,1471,0
git@github.com:symfony/http-kernel.git,v2.3.23,20337,5619,960,0.90%,3.912447257384,0,50,316,1471,0
git@github.com:symfony/http-kernel.git,v2.3.24,20102,5610,933,0.91%,3.9902597402597,0,50,316,1472,0
git@github.com:symfony/http-kernel.git,v2.3.25,20399,5659,941,0.90%,3.9724576271186,0,50,316,1494,0
git@github.com:symfony/http-kernel.git,v2.3.26,20400,5659,941,0.90%,3.9735169491525,0,50,316,1497,0
git@github.com:symfony/http-kernel.git,v2.3.27,20402,5650,942,0.90%,3.983032873807,0,50,316,1497,0
git@github.com:symfony/http-kernel.git,v2.3.28,20416,5652,945,0.90%,3.9851537645811,0,50,316,1504,0
git@github.com:symfony/http-kernel.git,v2.3.29,20520,5672,950,0.89%,3.9883843717001,0,50,316,1509,0
git@github.com:symfony/http-kernel.git,v2.3.30,20520,5672,950,0.89%,3.9883843717001,0,50,316,1509,0
git@github.com:symfony/http-kernel.git,v2.3.31,20519,5672,950,0.89%,3.9883843717001,0,50,316,1513,0
git@github.com:symfony/http-kernel.git,v2.3.32,20549,5675,951,0.89%,3.9894625922023,0,50,316,1519,0
