repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/polyfill-php70.git,v1.0.0,124,21,13,0.00%,4.25,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.0.1,124,21,13,0.00%,4.25,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.1.0,128,21,14,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.1.1,128,21,14,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.2.0,128,21,14,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.3.0,128,21,14,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.3.1,131,21,15,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.4.0,131,21,15,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.5.0,131,21,15,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.6.0,154,36,15,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.7.0,154,36,15,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.8.0,154,36,15,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.9.0,154,36,15,0.00%,4.6666666666667,0,4,15,2,0
git@github.com:symfony/polyfill-php70.git,v1.10.0,154,36,15,0.00%,4.6666666666667,0,4,15,2,0
