repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/process.git,v2.0.0,574,205,47,0.00%,1.7741935483871,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.1,574,205,47,0.00%,1.7741935483871,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.4,583,205,49,0.00%,1.75,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.5,583,205,49,0.00%,1.75,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.6,583,205,49,0.00%,1.75,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.7,587,205,51,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.9,587,205,51,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.10,587,205,51,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.12,588,206,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.13,588,206,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.14,588,206,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.15,587,206,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.16,587,206,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.17,587,206,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.18,657,276,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.19,657,276,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.20,657,276,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.21,657,276,52,0.00%,1.78125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.22,664,279,53,0.00%,1.8125,0,70,140,32,0
git@github.com:symfony/process.git,v2.0.23,668,280,55,0.00%,1.84375,0,70,140,33,0
git@github.com:symfony/process.git,v2.0.24,668,280,55,0.00%,1.84375,0,70,140,33,0
git@github.com:symfony/process.git,v2.0.25,668,280,55,0.00%,1.84375,0,70,140,33,0
git@github.com:symfony/process.git,v2.1.0,1762,478,134,0.00%,4.0853658536585,0,70,140,144,0
git@github.com:symfony/process.git,v2.1.1,1762,478,134,0.00%,4.0853658536585,0,70,140,144,0
git@github.com:symfony/process.git,v2.1.2,2171,576,146,0.00%,3.4833333333333,0,70,140,147,0
git@github.com:symfony/process.git,v2.1.3,2271,659,147,0.00%,3.4590163934426,0,70,140,146,0
git@github.com:symfony/process.git,v2.1.4,2271,659,147,0.00%,3.4590163934426,0,70,140,146,0
git@github.com:symfony/process.git,v2.1.5,2284,652,147,0.00%,3.4715447154472,0,70,140,146,0
git@github.com:symfony/process.git,v2.1.6,2284,652,147,0.00%,3.4715447154472,0,70,140,146,0
git@github.com:symfony/process.git,v2.1.7,2326,687,150,0.00%,3.4878048780488,0,70,140,145,0
git@github.com:symfony/process.git,v2.1.8,2333,688,153,0.00%,3.5040650406504,0,70,140,146,0
git@github.com:symfony/process.git,v2.1.9,2338,691,154,0.00%,3.5040650406504,0,70,140,146,0
git@github.com:symfony/process.git,v2.1.10,2478,709,170,0.00%,3.6771653543307,0,70,140,154,0
git@github.com:symfony/process.git,v2.1.11,2478,709,170,0.00%,3.6771653543307,0,70,140,154,0
git@github.com:symfony/process.git,v2.1.12,2478,709,170,0.00%,3.6771653543307,0,70,140,154,0
git@github.com:symfony/process.git,v2.1.13,2478,709,170,0.00%,3.6771653543307,0,70,140,154,0
git@github.com:symfony/process.git,v2.2.0,2607,787,154,0.00%,3.6934306569343,0,70,140,165,0
git@github.com:symfony/process.git,v2.2.1,2612,790,155,0.00%,3.6934306569343,0,70,140,165,0
git@github.com:symfony/process.git,v2.2.2,2753,808,171,0.00%,3.8439716312057,0,70,140,173,0
git@github.com:symfony/process.git,v2.2.3,2792,824,173,0.00%,3.8521126760563,0,70,140,178,0
git@github.com:symfony/process.git,v2.2.4,2792,824,173,0.00%,3.8521126760563,0,70,140,178,0
git@github.com:symfony/process.git,v2.2.5,2792,824,174,0.00%,3.8521126760563,0,70,140,178,0
git@github.com:symfony/process.git,v2.2.6,2874,846,167,0.00%,3.76,0,70,140,181,0
git@github.com:symfony/process.git,v2.2.7,3013,908,165,0.00%,3.6289308176101,0,70,140,185,0
