repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/symfony.git,v2.0.0,166229,46304,6986,0.52%,3.868872220734,0,6629,2234,10388,3
git@github.com:symfony/symfony.git,v2.0.1,166468,46297,7006,0.51%,3.8747158711058,0,6629,2234,10414,3
git@github.com:symfony/symfony.git,v2.0.2,166949,46352,7044,0.51%,3.8772303595206,0,6629,2234,10438,3
git@github.com:symfony/symfony.git,v2.0.3,166932,46352,7040,0.51%,3.8753661784288,0,6629,2234,10434,3
git@github.com:symfony/symfony.git,v2.0.4,167449,46403,7073,0.52%,3.8788321167883,0,6629,2234,10475,3
git@github.com:symfony/symfony.git,v2.0.5,167598,46518,7112,0.52%,3.8788721207307,0,6629,2234,10510,3
git@github.com:symfony/symfony.git,v2.0.6,168226,46592,7157,0.52%,3.8802900461437,0,6629,2234,10571,3
git@github.com:symfony/symfony.git,v2.0.7,168478,46642,7184,0.52%,3.8814473684211,0,6629,2234,10590,3
git@github.com:symfony/symfony.git,v2.0.8,169953,47248,7240,0.59%,3.8839274056665,0,6629,2234,10666,3
git@github.com:symfony/symfony.git,v2.0.9,170025,47286,7242,0.59%,3.8828135195093,0,6629,2234,10667,3
git@github.com:symfony/symfony.git,v2.0.10,170466,47409,7258,0.59%,3.8850858927642,0,6629,2234,10678,3
git@github.com:symfony/symfony.git,v2.0.11,170708,47464,7261,0.59%,3.8901598856103,0,6629,2234,10685,3
git@github.com:symfony/symfony.git,v2.0.12,170948,47482,7280,0.59%,3.8974425548488,0,6629,2234,10701,4
git@github.com:symfony/symfony.git,v2.0.13,171572,47652,7330,0.59%,3.9087496764173,0,6629,2234,10743,3
git@github.com:symfony/symfony.git,v2.0.14,171655,47697,7333,0.59%,3.9097968163582,0,6629,2234,10753,3
git@github.com:symfony/symfony.git,v2.0.15,171846,47726,7343,0.59%,3.9127568825126,0,6629,2234,10790,3
git@github.com:symfony/symfony.git,v2.0.16,172020,47755,7377,0.61%,3.9156548695428,0,6629,2234,10821,3
git@github.com:symfony/symfony.git,v2.0.17,172595,47840,7402,0.60%,3.922185003865,0,6629,2234,10861,3
git@github.com:symfony/symfony.git,v2.0.18,172744,47936,7408,0.60%,3.924900167461,0,6629,2234,10871,3
git@github.com:symfony/symfony.git,v2.0.19,173515,48123,7446,0.60%,3.9288735101884,0,6629,2234,10946,3
git@github.com:symfony/symfony.git,v2.0.20,173693,48159,7479,0.60%,3.9316348738958,0,6629,2234,10976,3
git@github.com:symfony/symfony.git,v2.0.21,173701,48159,7484,0.60%,3.9318909230572,0,6629,2234,10979,3
