repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/thanks.git,v1.0.0,257,29,16,0.00%,6,0,24,10,5,0
git@github.com:symfony/thanks.git,v1.0.1,305,29,19,0.00%,5.4,0,24,10,7,0
git@github.com:symfony/thanks.git,v1.0.2,314,29,20,0.00%,5.7,0,24,10,8,0
git@github.com:symfony/thanks.git,v1.0.3,303,29,22,0.00%,7.125,0,24,10,8,0
git@github.com:symfony/thanks.git,v1.0.4,324,29,29,0.00%,8,0,24,10,11,0
git@github.com:symfony/thanks.git,v1.0.5,325,29,29,0.00%,8,0,24,10,11,0
git@github.com:symfony/thanks.git,v1.0.6,333,29,31,0.00%,8.125,0,24,10,12,0
git@github.com:symfony/thanks.git,v1.0.7,353,29,36,0.00%,9,0,24,10,13,0
git@github.com:symfony/thanks.git,v1.0.8,361,29,38,0.00%,9.5,0,24,10,15,0
git@github.com:symfony/thanks.git,v1.1.0,428,40,44,0.00%,9,0,24,10,21,0
