repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/var-dumper.git,v2.6.0,3289,653,316,0.00%,6.2444444444444,0,52,75,682,0
git@github.com:symfony/var-dumper.git,v2.6.1,3289,653,316,0.00%,6.2444444444444,0,52,75,682,0
git@github.com:symfony/var-dumper.git,v2.6.2,3347,664,318,0.00%,6.2857142857143,0,52,75,683,0
git@github.com:symfony/var-dumper.git,v2.6.3,3347,664,318,0.00%,6.2857142857143,0,52,75,683,0
git@github.com:symfony/var-dumper.git,v2.6.4,3600,682,343,0.00%,6.4130434782609,0,52,75,708,0
git@github.com:symfony/var-dumper.git,v2.6.5,3744,696,343,0.00%,6.3936170212766,0,52,75,714,0
git@github.com:symfony/var-dumper.git,v2.6.6,3806,696,339,0.00%,6.3578947368421,0,52,75,712,0
git@github.com:symfony/var-dumper.git,v2.6.7,3801,696,338,0.00%,6.3684210526316,0,52,75,709,0
git@github.com:symfony/var-dumper.git,v2.6.8,3801,696,338,0.00%,6.3684210526316,0,52,75,709,0
git@github.com:symfony/var-dumper.git,v2.6.9,3801,696,338,0.00%,6.3684210526316,0,52,75,709,0
git@github.com:symfony/var-dumper.git,v2.6.10,3919,698,372,0.00%,6.3535353535354,0,52,75,754,0
git@github.com:symfony/var-dumper.git,v2.6.11,3919,698,372,0.00%,6.3535353535354,0,52,75,754,0
git@github.com:symfony/var-dumper.git,v2.6.12,3919,698,372,0.00%,6.3535353535354,0,52,75,754,0
git@github.com:symfony/var-dumper.git,v2.6.13,3919,698,372,0.00%,6.3535353535354,0,52,75,754,0
git@github.com:symfony/var-dumper.git,v2.7.0,4855,846,399,0.43%,5.84375,0,52,75,982,0
git@github.com:symfony/var-dumper.git,v2.7.1,4861,846,406,0.43%,5.8203125,0,52,75,995,0
git@github.com:symfony/var-dumper.git,v2.7.2,4965,848,433,0.42%,5.8181818181818,0,52,75,1037,0
git@github.com:symfony/var-dumper.git,v2.7.3,4963,848,433,0.42%,5.8181818181818,0,52,75,1037,0
git@github.com:symfony/var-dumper.git,v2.7.4,4964,848,432,0.42%,5.8181818181818,0,52,75,1035,0
git@github.com:symfony/var-dumper.git,v2.7.5,5022,865,434,0.00%,5.8421052631579,0,52,75,1035,0
git@github.com:symfony/var-dumper.git,v2.7.6,5075,883,438,0.00%,5.7851851851852,0,52,75,1051,0
git@github.com:symfony/var-dumper.git,v2.7.7,5130,887,443,0.00%,5.7737226277372,0,52,75,1068,0
git@github.com:symfony/var-dumper.git,v2.7.8,5130,887,443,0.00%,5.7737226277372,0,52,75,1068,0
git@github.com:symfony/var-dumper.git,v2.7.9,5130,887,443,0.00%,5.7737226277372,0,52,75,1068,0
git@github.com:symfony/var-dumper.git,v2.7.10,5120,887,443,0.00%,5.7737226277372,0,52,75,1068,0
git@github.com:symfony/var-dumper.git,v2.7.11,5120,887,443,0.00%,5.7737226277372,0,52,75,1068,0
git@github.com:symfony/var-dumper.git,v2.7.12,5132,887,443,0.00%,5.7664233576642,0,52,75,1063,0
git@github.com:symfony/var-dumper.git,v2.7.13,5132,887,443,0.00%,5.7664233576642,0,52,75,1063,0
git@github.com:symfony/var-dumper.git,v2.7.14,5134,888,444,0.00%,5.7664233576642,0,52,75,1064,0
git@github.com:symfony/var-dumper.git,v2.7.15,5134,888,444,0.00%,5.7664233576642,0,52,75,1064,0
git@github.com:symfony/var-dumper.git,v2.7.16,5265,887,451,0.00%,5.8285714285714,0,52,75,1087,0
git@github.com:symfony/var-dumper.git,v2.7.17,5290,884,458,0.00%,5.936170212766,0,52,75,1087,0
git@github.com:symfony/var-dumper.git,v2.7.18,5290,884,458,0.00%,5.9290780141844,0,52,75,1087,0
git@github.com:symfony/var-dumper.git,v2.7.19,5297,884,463,0.00%,5.9503546099291,0,52,75,1095,0
git@github.com:symfony/var-dumper.git,v2.7.20,5290,884,461,0.00%,5.9503546099291,0,52,75,1094,0
git@github.com:symfony/var-dumper.git,v2.7.21,5290,884,461,0.00%,5.9503546099291,0,52,75,1094,0
git@github.com:symfony/var-dumper.git,v2.7.22,5337,895,462,0.00%,5.9090909090909,0,52,75,1094,0
git@github.com:symfony/var-dumper.git,v2.7.23,5337,895,462,0.00%,5.9090909090909,0,52,75,1094,0
