repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:symfony/yaml.git,v2.0.0,1526,480,211,0.00%,8.15,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.1,1526,480,211,0.00%,8.15,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.4,1526,480,211,0.00%,8.15,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.5,1526,480,211,0.00%,8.15,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.6,1536,480,213,0.00%,8.25,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.7,1536,480,213,0.00%,8.25,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.9,1536,480,213,0.00%,8.25,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.10,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.12,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.13,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.14,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.15,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.16,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.17,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.18,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.19,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.20,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.21,1540,480,213,0.00%,8.275,0,92,124,82,0
git@github.com:symfony/yaml.git,v2.0.22,1648,534,219,0.00%,7.8409090909091,0,92,124,87,0
git@github.com:symfony/yaml.git,v2.0.23,1670,536,226,0.00%,8.1136363636364,0,92,124,88,0
git@github.com:symfony/yaml.git,v2.0.24,1670,536,226,0.00%,8.1136363636364,0,92,124,88,0
git@github.com:symfony/yaml.git,v2.0.25,1670,536,226,0.00%,8.1136363636364,0,92,124,88,0
git@github.com:symfony/yaml.git,v2.1.0,2279,579,259,0.00%,6.375,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.1.1,2279,579,259,0.00%,6.375,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.1.2,2279,579,259,0.00%,6.375,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.1.3,2279,579,259,0.00%,6.375,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.1.4,2279,579,259,0.00%,6.375,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.1.5,2279,579,259,0.00%,6.375,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.1.6,2279,579,259,0.00%,6.375,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.1.7,2390,628,264,0.00%,6.0897435897436,0,92,124,112,0
git@github.com:symfony/yaml.git,v2.1.8,2606,637,268,0.00%,6.3536585365854,0,92,124,116,0
git@github.com:symfony/yaml.git,v2.1.9,2720,638,266,0.00%,6.4096385542169,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.1.10,2729,638,266,0.00%,6.3571428571429,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.1.11,2760,645,269,0.00%,6.3411764705882,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.1.12,2760,645,269,0.00%,6.3411764705882,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.1.13,2760,645,269,0.00%,6.3411764705882,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.2.0,2621,652,266,0.00%,6.3536585365854,0,92,124,116,0
git@github.com:symfony/yaml.git,v2.2.1,2735,653,264,0.00%,6.4096385542169,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.2.2,2775,660,267,0.00%,6.3411764705882,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.2.3,2775,660,267,0.00%,6.3411764705882,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.2.4,2834,661,269,0.00%,6.2298850574713,0,92,124,119,0
git@github.com:symfony/yaml.git,v2.2.5,2834,661,269,0.00%,6.2298850574713,0,92,124,119,0
git@github.com:symfony/yaml.git,v2.2.6,2873,661,271,0.00%,6.1931818181818,0,92,124,120,0
git@github.com:symfony/yaml.git,v2.2.7,2908,669,273,0.00%,6.1685393258427,0,92,124,121,0
git@github.com:symfony/yaml.git,v2.2.8,2908,669,273,0.00%,6.1685393258427,0,92,124,121,0
git@github.com:symfony/yaml.git,v2.2.9,2908,669,273,0.00%,6.1685393258427,0,92,124,121,0
git@github.com:symfony/yaml.git,v2.2.10,2910,669,273,0.00%,6.1685393258427,0,92,124,121,0
git@github.com:symfony/yaml.git,v2.2.11,2910,669,273,0.00%,6.1685393258427,0,92,124,121,0
git@github.com:symfony/yaml.git,v2.3.0,2708,632,264,0.00%,6.5061728395062,0,92,124,113,0
git@github.com:symfony/yaml.git,v2.3.1,2708,632,264,0.00%,6.5061728395062,0,92,124,113,0
git@github.com:symfony/yaml.git,v2.3.2,2767,633,266,0.00%,6.3855421686747,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.3.3,2767,633,266,0.00%,6.3855421686747,0,92,124,115,0
git@github.com:symfony/yaml.git,v2.3.4,2806,633,268,0.00%,6.3452380952381,0,92,124,116,0
git@github.com:symfony/yaml.git,v2.3.5,2841,641,270,0.00%,6.3176470588235,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.3.6,2841,641,270,0.00%,6.3176470588235,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.3.7,2843,641,270,0.00%,6.3176470588235,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.3.8,2843,641,270,0.00%,6.3176470588235,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.3.9,2847,645,270,0.00%,6.3176470588235,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.3.10,2847,645,270,0.00%,6.3176470588235,0,92,124,117,0
git@github.com:symfony/yaml.git,v2.3.11,2851,645,273,0.00%,6.3294117647059,0,92,124,116,0
git@github.com:symfony/yaml.git,v2.3.12,2851,645,273,0.00%,6.3294117647059,0,92,124,116,0
