repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:teamtnt/tntsearch.git,v0.1.0,2042,240,187,0.00%,5.7386363636364,0,138,27,149,0
git@github.com:teamtnt/tntsearch.git,v0.2.0,2350,240,233,0.00%,5.9081632653061,0,138,27,170,0
git@github.com:teamtnt/tntsearch.git,v0.3.0,2366,240,233,0.00%,5.9081632653061,0,138,27,170,0
git@github.com:teamtnt/tntsearch.git,v0.4.0,2366,240,233,0.00%,5.9081632653061,0,138,27,170,0
git@github.com:teamtnt/tntsearch.git,v0.4.1,2366,240,233,0.00%,5.9081632653061,0,138,27,170,0
git@github.com:teamtnt/tntsearch.git,v0.5.0,2495,240,236,0.00%,6.018691588785,0,138,27,173,0
git@github.com:teamtnt/tntsearch.git,v0.6.0,2555,245,236,0.00%,6.0462962962963,0,138,27,173,0
git@github.com:teamtnt/tntsearch.git,v0.6.1,2642,245,245,0.00%,6.1428571428571,0,138,27,177,0
git@github.com:teamtnt/tntsearch.git,v0.6.2,2649,245,245,0.00%,6.1875,0,138,27,177,0
git@github.com:teamtnt/tntsearch.git,v0.6.3,2649,245,245,0.00%,6.1875,0,138,27,177,0
git@github.com:teamtnt/tntsearch.git,v0.6.4,2694,245,244,0.00%,6.2434782608696,0,138,27,179,0
git@github.com:teamtnt/tntsearch.git,v0.6.5,2732,243,245,0.00%,6.1932773109244,0,138,27,179,0
git@github.com:teamtnt/tntsearch.git,v0.6.6,2793,243,245,0.00%,5.9285714285714,0,138,27,181,0
git@github.com:teamtnt/tntsearch.git,v0.7.0,3259,401,261,0.00%,5.6388888888889,0,138,27,205,0
git@github.com:teamtnt/tntsearch.git,v0.7.1,3260,402,261,0.00%,5.6388888888889,0,138,27,205,0
git@github.com:teamtnt/tntsearch.git,v0.8.0,3309,402,264,0.00%,5.7260273972603,0,138,27,210,0
git@github.com:teamtnt/tntsearch.git,v0.8.1,3351,406,267,0.00%,5.6711409395973,0,138,27,213,0
git@github.com:teamtnt/tntsearch.git,v0.8.2,3359,406,269,0.00%,5.6845637583893,0,138,27,213,0
git@github.com:teamtnt/tntsearch.git,v0.8.3,3361,406,270,0.00%,5.6845637583893,0,138,27,213,0
git@github.com:teamtnt/tntsearch.git,v0.8.4,3394,407,271,0.00%,5.6578947368421,0,138,27,214,0
git@github.com:teamtnt/tntsearch.git,v0.8.5,3394,407,271,0.00%,5.6578947368421,0,138,27,214,0
git@github.com:teamtnt/tntsearch.git,v0.8.6,3387,407,270,0.00%,5.6644736842105,0,138,27,211,0
git@github.com:teamtnt/tntsearch.git,v0.8.7,3436,407,274,0.00%,5.7161290322581,0,138,27,211,0
git@github.com:teamtnt/tntsearch.git,v0.8.8,3457,407,274,0.00%,5.7435897435897,0,138,27,212,0
git@github.com:teamtnt/tntsearch.git,v0.8.9,3467,407,274,0.00%,5.6835443037975,0,138,27,212,0
git@github.com:teamtnt/tntsearch.git,v0.9.0,3478,407,274,0.00%,5.6792452830189,0,138,27,213,0
git@github.com:teamtnt/tntsearch.git,v1.0.0,3645,409,277,0.00%,5.780487804878,0,138,27,215,0
git@github.com:teamtnt/tntsearch.git,v1.0.1,3678,414,278,0.00%,5.830303030303,0,138,27,216,0
git@github.com:teamtnt/tntsearch.git,v1.0.2,4295,513,345,0.68%,5.8770053475936,0,138,27,321,0
git@github.com:teamtnt/tntsearch.git,v1.0.3,4498,569,360,0.64%,5.8963730569948,0,138,27,327,0
git@github.com:teamtnt/tntsearch.git,v1.0.4,4514,569,364,0.64%,5.8963730569948,0,138,27,332,0
git@github.com:teamtnt/tntsearch.git,v1.0.5,4514,569,364,0.64%,5.8963730569948,0,138,27,332,0
git@github.com:teamtnt/tntsearch.git,v1.0.6,4768,569,381,0.61%,5.8254716981132,0,138,27,359,0
git@github.com:teamtnt/tntsearch.git,v1.0.7,5158,814,398,0.56%,5.9724770642202,0,138,27,414,0
git@github.com:teamtnt/tntsearch.git,v1.1.0,5336,818,414,0.54%,5.9956140350877,0,138,27,429,0
git@github.com:teamtnt/tntsearch.git,v1.2.0,6138,1004,503,0.47%,6.0730769230769,0,138,27,512,0
git@github.com:teamtnt/tntsearch.git,v1.3.0,6155,1004,504,0.47%,6.0534351145038,0,138,27,515,0
git@github.com:teamtnt/tntsearch.git,v1.3.1,6160,1005,504,0.47%,6.0534351145038,0,138,27,515,0
git@github.com:teamtnt/tntsearch.git,v1.3.2,6189,1009,508,0.47%,6.087786259542,0,138,27,518,0
git@github.com:teamtnt/tntsearch.git,v1.3.3,6215,1009,512,0.47%,6.1679389312977,0,138,27,520,0
git@github.com:teamtnt/tntsearch.git,v1.3.4,6228,1010,512,0.47%,6.1946564885496,0,138,27,521,0
git@github.com:teamtnt/tntsearch.git,v1.3.5,6235,1010,513,0.47%,6.1984732824427,0,138,27,522,0
git@github.com:teamtnt/tntsearch.git,v1.3.6,6266,1018,513,0.46%,6.2546816479401,0,138,27,522,0
git@github.com:teamtnt/tntsearch.git,v1.4.0,6266,1018,513,0.46%,6.2546816479401,0,138,27,522,0
