repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:tecnickcom/TCPDF.git,6.1.0,73105,19330,6898,1.60%,20.174825174825,0,633,28,9854,0
git@github.com:tecnickcom/TCPDF.git,6.1.1,73098,19326,6898,1.60%,20.201680672269,0,633,28,9854,0
git@github.com:tecnickcom/TCPDF.git,6.2.0,72741,19291,6580,1.61%,19.548660084626,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.1,72744,19291,6581,1.60%,19.550070521862,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.2,72744,19291,6581,1.60%,19.550070521862,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.3,72745,19292,6581,1.60%,19.550070521862,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.4,72745,19292,6583,1.60%,19.550070521862,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.5,72746,19292,6584,1.60%,19.551480959097,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.6,72746,19292,6584,1.60%,19.551480959097,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.7,75617,20393,6885,5.21%,18.223048327138,0,633,28,10188,0
git@github.com:tecnickcom/TCPDF.git,6.2.8,72751,19292,6585,1.60%,19.552891396333,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.9,72760,19294,6589,1.60%,19.557122708039,0,633,28,9553,0
git@github.com:tecnickcom/TCPDF.git,6.2.10,72787,19304,6596,1.60%,19.540845070423,0,633,28,9556,0
git@github.com:tecnickcom/TCPDF.git,6.2.11,72799,19306,6600,1.60%,19.543661971831,0,633,28,9538,0
git@github.com:tecnickcom/TCPDF.git,6.2.12,72896,19312,6600,1.60%,19.543661971831,0,633,28,9538,0
git@github.com:tecnickcom/TCPDF.git,6.2.13,72902,19312,6604,1.60%,19.543661971831,0,633,28,9539,0
git@github.com:tecnickcom/TCPDF.git,6.2.16,72904,19312,6606,1.59%,19.543661971831,0,633,28,9540,0
git@github.com:tecnickcom/TCPDF.git,6.2.17,72904,19312,6606,1.59%,19.543661971831,0,633,28,9540,0
git@github.com:tecnickcom/TCPDF.git,6.2.19,72918,19315,6613,1.59%,19.550704225352,0,633,28,9540,0
git@github.com:tecnickcom/TCPDF.git,6.2.20,72932,19322,6615,1.59%,19.526019690577,0,633,28,9541,0
git@github.com:tecnickcom/TCPDF.git,6.2.21,72899,19319,6615,1.59%,19.526019690577,0,633,28,9541,0
git@github.com:tecnickcom/TCPDF.git,6.2.22,72895,19318,6614,1.59%,19.524613220816,0,633,28,9541,0
git@github.com:tecnickcom/TCPDF.git,6.2.23,72882,19318,6610,1.59%,19.520393811533,0,633,28,9539,0
git@github.com:tecnickcom/TCPDF.git,6.2.25,72935,19329,6620,1.59%,19.52808988764,0,633,28,9542,0
git@github.com:tecnickcom/TCPDF.git,6.2.26,72939,19329,6622,1.59%,19.529494382022,0,633,28,9543,0
