repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:the-control-group/voyager.git,v0.11.14,16887,1327,651,0.47%,4.1131221719457,0,1733,310,589,39
git@github.com:the-control-group/voyager.git,v1.0.0,25370,1638,794,1.23%,4.2796780684105,0,1733,310,707,55
git@github.com:the-control-group/voyager.git,v1.0.1,25773,1639,794,1.21%,4.2756539235412,0,1733,310,707,55
git@github.com:the-control-group/voyager.git,v1.0.2,25733,1650,790,1.22%,4.2570850202429,0,1733,310,698,55
git@github.com:the-control-group/voyager.git,v1.0.3,25886,1659,796,1.21%,4.2727272727273,0,1733,310,718,55
git@github.com:the-control-group/voyager.git,v1.0.4,25885,1659,796,1.21%,4.2727272727273,0,1733,310,718,55
git@github.com:the-control-group/voyager.git,v1.0.5,25886,1658,797,1.21%,4.2727272727273,0,1733,310,718,55
git@github.com:the-control-group/voyager.git,v1.0.6,26576,1757,822,1.18%,4.2153846153846,0,1733,310,763,55
git@github.com:the-control-group/voyager.git,v1.0.7,27905,1760,826,0.38%,4.2153846153846,0,1733,310,764,55
git@github.com:the-control-group/voyager.git,v1.0.8,28023,1760,826,0.38%,4.2153846153846,0,1733,310,764,55
git@github.com:the-control-group/voyager.git,v1.0.9,28032,1760,827,0.38%,4.2153846153846,0,1733,310,764,55
git@github.com:the-control-group/voyager.git,v1.0.10,28032,1760,827,0.38%,4.2153846153846,0,1733,310,764,55
git@github.com:the-control-group/voyager.git,v1.0.11,29448,1769,831,0.36%,4.2149712092131,0,1733,310,764,55
git@github.com:the-control-group/voyager.git,v1.0.12,29483,1774,832,0.36%,4.2168905950096,0,1733,310,765,55
git@github.com:the-control-group/voyager.git,v1.0.13,29483,1774,832,0.36%,4.2168905950096,0,1733,310,765,55
git@github.com:the-control-group/voyager.git,v1.0.14,29475,1774,831,0.36%,4.2130518234165,0,1733,310,764,55
git@github.com:the-control-group/voyager.git,v1.0.15,30037,1780,858,0.36%,4.2214022140221,0,1733,310,809,55
git@github.com:the-control-group/voyager.git,v1.0.16,30557,1802,862,0.35%,4.2201834862385,0,1733,310,806,55
git@github.com:the-control-group/voyager.git,v1.0.17,31203,1803,859,0.35%,4.2142857142857,0,1733,310,814,56
git@github.com:the-control-group/voyager.git,v1.1.0,34115,2181,874,0.72%,4.0475409836066,0,1733,310,854,60
git@github.com:the-control-group/voyager.git,v1.1.1,35576,2223,878,0.69%,4.0081037277147,0,1733,310,895,60
git@github.com:the-control-group/voyager.git,v1.1.2,35604,2227,882,0.69%,4.0097244732577,0,1733,310,895,60
git@github.com:the-control-group/voyager.git,v1.1.3,36229,2311,884,0.68%,3.9601275917065,0,1733,310,927,60
git@github.com:the-control-group/voyager.git,v1.1.4,36216,2291,887,0.74%,3.9806138933764,0,1733,310,923,59
git@github.com:the-control-group/voyager.git,v1.1.5,36216,2291,887,0.74%,3.9806138933764,0,1733,310,923,59
git@github.com:the-control-group/voyager.git,v1.1.6,36237,2291,894,0.74%,3.9822294022617,0,1733,310,924,59
git@github.com:the-control-group/voyager.git,v1.1.7,36237,2291,895,0.74%,3.9822294022617,0,1733,310,924,59
git@github.com:the-control-group/voyager.git,v1.1.8,36172,2261,900,0.74%,3.9518459069021,0,1733,310,974,60
git@github.com:the-control-group/voyager.git,v1.1.9,36172,2261,900,0.74%,3.9518459069021,0,1733,310,974,60
git@github.com:the-control-group/voyager.git,v1.1.10,36292,2261,900,0.74%,3.9518459069021,0,1733,310,974,60
git@github.com:the-control-group/voyager.git,v1.1.11,38690,2272,904,1.69%,3.9377990430622,0,1733,310,972,60
