repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:thephpleague/csv.git,1.0.0,455,175,14,0.00%,2.84,0,217,39,10,0
git@github.com:thephpleague/csv.git,2.0.0,462,180,14,0.00%,3.0416666666667,0,217,39,9,0
git@github.com:thephpleague/csv.git,3.0.0,872,374,28,0.00%,3.3421052631579,0,217,39,10,0
git@github.com:thephpleague/csv.git,3.0.1,905,382,31,0.00%,3.3846153846154,0,217,39,12,0
git@github.com:thephpleague/csv.git,3.1.0,985,416,30,0.00%,3.05,0,217,39,15,0
git@github.com:thephpleague/csv.git,3.2.0,1319,493,45,0.00%,2.9701492537313,0,217,39,32,0
git@github.com:thephpleague/csv.git,3.3.0,1522,604,46,0.00%,3.0666666666667,0,217,39,33,0
git@github.com:thephpleague/csv.git,4.0.0,1719,572,60,0.00%,3.0416666666667,0,217,39,33,0
git@github.com:thephpleague/csv.git,4.1.0,1871,610,61,0.00%,3.1973684210526,0,217,39,34,0
git@github.com:thephpleague/csv.git,4.1.1,1853,602,54,0.00%,3.1842105263158,0,217,39,30,0
git@github.com:thephpleague/csv.git,4.1.2,1853,602,54,0.00%,3.1842105263158,0,217,39,30,0
git@github.com:thephpleague/csv.git,4.2.0,2069,674,57,0.00%,3.2784810126582,0,217,39,29,0
git@github.com:thephpleague/csv.git,4.2.1,2240,804,59,0.00%,3.2560975609756,0,217,39,28,0
git@github.com:thephpleague/csv.git,5.0.0,2240,804,59,0.00%,3.2560975609756,0,217,39,28,0
git@github.com:thephpleague/csv.git,5.1.0,2437,855,68,0.00%,3.1797752808989,0,217,39,32,0
git@github.com:thephpleague/csv.git,5.2.0,2524,889,66,0.00%,3.1505376344086,0,217,39,37,0
git@github.com:thephpleague/csv.git,5.3.0,2660,930,75,0.00%,3.1938775510204,0,217,39,42,0
git@github.com:thephpleague/csv.git,5.3.1,2611,893,76,0.00%,3.1632653061224,0,217,39,44,0
git@github.com:thephpleague/csv.git,5.4.0,2775,966,80,0.00%,3.2056074766355,0,217,39,49,0
git@github.com:thephpleague/csv.git,6.0.0,3260,1004,99,0.00%,3.3358208955224,0,217,39,63,0
git@github.com:thephpleague/csv.git,6.0.1,3253,998,99,0.00%,3.3358208955224,0,217,39,62,0
git@github.com:thephpleague/csv.git,6.1.0,3373,1032,106,0.00%,3.3840579710145,0,217,39,64,0
git@github.com:thephpleague/csv.git,6.2.0,3421,1051,107,0.00%,3.3829787234043,0,217,39,66,0
git@github.com:thephpleague/csv.git,6.3.0,3638,1128,109,0.00%,3.3945578231293,0,217,39,68,0
git@github.com:thephpleague/csv.git,7.0.0,4200,1320,110,0.00%,3.3806818181818,0,217,39,67,0
git@github.com:thephpleague/csv.git,7.0.1,4166,1303,109,0.00%,3.3735632183908,0,217,39,65,0
git@github.com:thephpleague/csv.git,7.1.0,4274,1349,113,0.00%,3.1292134831461,0,217,39,65,0
git@github.com:thephpleague/csv.git,7.1.1,4314,1354,115,0.00%,3.1444444444444,0,217,39,66,0
git@github.com:thephpleague/csv.git,7.1.2,4420,1375,117,0.00%,3.1904761904762,0,217,39,63,0
git@github.com:thephpleague/csv.git,7.2.0,4532,1415,117,0.00%,3.1356783919598,0,217,39,65,0
git@github.com:thephpleague/csv.git,8.0.0,4468,1343,114,0.00%,3.075,0,217,39,63,0
git@github.com:thephpleague/csv.git,8.1.0,4529,1363,116,0.00%,3.0492610837438,0,217,39,64,0
git@github.com:thephpleague/csv.git,8.1.1,4556,1365,118,0.00%,3.1029411764706,0,217,39,64,0
git@github.com:thephpleague/csv.git,8.1.2,4555,1365,118,0.00%,3.1029411764706,0,217,39,64,0
git@github.com:thephpleague/csv.git,8.2.0,5104,1603,139,0.00%,3.0254237288136,0,217,39,84,0
git@github.com:thephpleague/csv.git,8.2.1,5075,1563,138,0.00%,3.0379746835443,0,217,39,84,0
git@github.com:thephpleague/csv.git,8.2.2,5088,1567,139,0.00%,3.0294117647059,0,217,39,84,0
git@github.com:thephpleague/csv.git,8.2.3,5111,1575,143,0.00%,3.0334728033473,0,217,39,84,0
git@github.com:thephpleague/csv.git,9.0.0,5541,2130,146,0.00%,3.2177121771218,0,217,39,106,0
git@github.com:thephpleague/csv.git,9.0.1,5542,2130,146,0.00%,3.2214022140221,0,217,39,106,0
git@github.com:thephpleague/csv.git,9.1.0,6260,2441,170,0.00%,3.2006578947368,0,217,39,113,0
git@github.com:thephpleague/csv.git,9.1.1,6280,2447,170,0.00%,3.2091503267974,0,217,39,113,0
git@github.com:thephpleague/csv.git,9.1.2,6344,2464,176,0.00%,3.2168284789644,0,217,39,115,0
git@github.com:thephpleague/csv.git,9.1.3,6340,2473,176,0.00%,3.211038961039,0,217,39,112,0
git@github.com:thephpleague/csv.git,9.1.4,6386,2484,176,0.00%,3.1929260450161,0,217,39,114,0
