repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:thephpleague/fractal.git,0.0.1,317,30,8,0.00%,1.9375,0,323,105,10,0
git@github.com:thephpleague/fractal.git,0.1.0,317,30,8,0.00%,1.9375,0,323,105,10,0
git@github.com:thephpleague/fractal.git,0.2.0,385,35,14,0.00%,2.1081081081081,0,323,105,12,0
git@github.com:thephpleague/fractal.git,0.2.1,755,197,14,0.00%,2.2727272727273,0,323,105,22,0
git@github.com:thephpleague/fractal.git,0.3.0,752,196,14,0.00%,2.2727272727273,0,323,105,22,0
git@github.com:thephpleague/fractal.git,0.3.1,883,227,14,0.00%,2.3333333333333,0,323,105,21,0
git@github.com:thephpleague/fractal.git,0.4.0,1059,264,13,0.00%,2.9818181818182,0,323,105,47,0
git@github.com:thephpleague/fractal.git,0.4.2,1093,262,15,0.00%,2.9038461538462,0,323,105,58,0
git@github.com:thephpleague/fractal.git,0.4.3,1092,262,15,0.00%,2.9038461538462,0,323,105,58,0
git@github.com:thephpleague/fractal.git,0.4.4,1087,259,15,0.00%,2.9038461538462,0,323,105,58,0
git@github.com:thephpleague/fractal.git,0.4.5,1119,259,17,0.00%,3.0769230769231,0,323,105,59,0
git@github.com:thephpleague/fractal.git,0.4.6,1309,308,23,0.00%,3.3870967741935,0,323,105,76,0
git@github.com:thephpleague/fractal.git,0.5.0,1304,310,26,0.00%,3.5573770491803,0,323,105,78,0
git@github.com:thephpleague/fractal.git,0.5.1,1304,310,26,0.00%,3.5573770491803,0,323,105,78,0
git@github.com:thephpleague/fractal.git,0.6.0,1433,345,26,0.00%,3.734375,0,323,105,86,0
git@github.com:thephpleague/fractal.git,0.6.1,1701,448,28,0.00%,3.5789473684211,0,323,105,92,0
git@github.com:thephpleague/fractal.git,0.7.0,1701,448,28,0.00%,3.5789473684211,0,323,105,92,0
git@github.com:thephpleague/fractal.git,0.8.0,3110,832,47,0.00%,3.9224137931034,0,323,105,129,0
git@github.com:thephpleague/fractal.git,0.8.1,3223,854,48,1.15%,3.8548387096774,0,323,105,136,0
git@github.com:thephpleague/fractal.git,0.8.2,3231,854,50,1.15%,3.8709677419355,0,323,105,136,0
git@github.com:thephpleague/fractal.git,0.8.3,3305,865,50,1.12%,3.8153846153846,0,323,105,142,0
git@github.com:thephpleague/fractal.git,0.9.0,3363,891,51,1.10%,3.7313432835821,0,323,105,145,0
git@github.com:thephpleague/fractal.git,0.9.1,3388,893,52,1.09%,3.7703703703704,0,323,105,146,0
git@github.com:thephpleague/fractal.git,0.10.0,3749,1085,48,0.99%,3.475,0,323,105,140,0
git@github.com:thephpleague/fractal.git,0.11.0,4372,1400,52,0.85%,3.2817679558011,0,323,105,150,0
git@github.com:thephpleague/fractal.git,0.12.0,4321,1390,50,0.86%,3.2849162011173,0,323,105,154,0
git@github.com:thephpleague/fractal.git,0.13.0,6073,1544,83,0.00%,3.5353982300885,0,323,105,194,0
git@github.com:thephpleague/fractal.git,0.14.0,7126,1725,96,1.64%,3.9880952380952,0,323,105,263,0
git@github.com:thephpleague/fractal.git,0.15.0,7448,1794,100,1.57%,3.9628252788104,0,323,105,272,0
git@github.com:thephpleague/fractal.git,0.16.0,8526,1998,103,1.37%,4.0536912751678,0,323,105,304,0
git@github.com:thephpleague/fractal.git,0.17.0,9008,2166,108,1.30%,4.0127388535032,0,323,105,317,0
