repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:thephpleague/glide.git,0.1.0,2952,479,101,0.00%,2.4042553191489,0,116,19,190,0
git@github.com:thephpleague/glide.git,0.1.1,3003,493,101,0.00%,2.4157894736842,0,116,19,200,0
git@github.com:thephpleague/glide.git,0.2.0,3176,531,105,0.00%,2.3990147783251,0,116,19,198,0
git@github.com:thephpleague/glide.git,0.3.0,3560,597,111,0.00%,2.4200913242009,0,116,19,267,0
git@github.com:thephpleague/glide.git,0.3.1,3565,597,111,0.00%,2.4181818181818,0,116,19,267,0
git@github.com:thephpleague/glide.git,0.3.2,3590,598,112,0.00%,2.4227272727273,0,116,19,280,0
git@github.com:thephpleague/glide.git,0.3.3,3590,598,112,0.00%,2.4227272727273,0,116,19,280,0
git@github.com:thephpleague/glide.git,0.3.4,3681,606,116,0.00%,2.4336283185841,0,116,19,282,0
git@github.com:thephpleague/glide.git,0.3.5,3663,603,114,0.00%,2.4375,0,116,19,281,0
git@github.com:thephpleague/glide.git,0.3.6,3663,603,114,0.00%,2.4375,0,116,19,281,0
git@github.com:thephpleague/glide.git,1.0.0,5355,909,170,0.00%,2.7073954983923,0,116,19,652,0
git@github.com:thephpleague/glide.git,1.0.1,5357,909,171,0.00%,2.7073954983923,0,116,19,652,0
git@github.com:thephpleague/glide.git,1.1.0,5454,925,174,0.00%,2.6947040498442,0,116,19,655,0
git@github.com:thephpleague/glide.git,1.1.1,5454,925,174,0.00%,2.6947040498442,0,116,19,655,0
git@github.com:thephpleague/glide.git,1.2.0,5486,930,178,0.00%,2.7089783281734,0,116,19,660,0
git@github.com:thephpleague/glide.git,1.2.1,5492,932,178,0.00%,2.7151702786378,0,116,19,660,0
git@github.com:thephpleague/glide.git,1.2.2,5518,932,179,0.00%,2.7208588957055,0,116,19,660,0
git@github.com:thephpleague/glide.git,1.3.0,5609,944,182,0.00%,2.6987951807229,0,116,19,675,0
git@github.com:thephpleague/glide.git,1.4.0,5634,944,186,0.00%,2.7259036144578,0,116,19,698,0
