repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:thephpleague/oauth2-server.git,0.2.1,1859,575,78,0.00%,5.015873015873,0,810,156,46,0
git@github.com:thephpleague/oauth2-server.git,0.2.2,1875,575,81,0.00%,5.047619047619,0,810,156,46,0
git@github.com:thephpleague/oauth2-server.git,0.2.3,1878,575,82,0.00%,5.0634920634921,0,810,156,46,0
git@github.com:thephpleague/oauth2-server.git,0.3.1,3105,823,161,0.00%,4.0894308943089,0,810,156,104,0
git@github.com:thephpleague/oauth2-server.git,0.3.2,3080,835,161,0.00%,4.0894308943089,0,810,156,104,0
git@github.com:thephpleague/oauth2-server.git,0.3.3,3080,835,161,0.00%,4.0894308943089,0,810,156,104,0
git@github.com:thephpleague/oauth2-server.git,0.3.4,3082,835,161,0.00%,4.0975609756098,0,810,156,104,0
git@github.com:thephpleague/oauth2-server.git,0.3.5,3082,835,161,0.00%,4.0975609756098,0,810,156,104,0
git@github.com:thephpleague/oauth2-server.git,0.4.1,3873,967,204,3.87%,5.2816901408451,0,810,156,111,0
git@github.com:thephpleague/oauth2-server.git,0.4.2,3874,967,204,3.87%,5.2816901408451,0,810,156,111,0
git@github.com:thephpleague/oauth2-server.git,1.0.0,3488,966,73,3.96%,4.804347826087,0,810,156,551,0
git@github.com:thephpleague/oauth2-server.git,1.0.1,3469,963,68,3.98%,4.7753623188406,0,810,156,551,0
git@github.com:thephpleague/oauth2-server.git,1.0.2,3469,963,68,3.98%,4.7753623188406,0,810,156,551,0
git@github.com:thephpleague/oauth2-server.git,1.0.3,3469,963,68,3.98%,4.7753623188406,0,810,156,551,0
git@github.com:thephpleague/oauth2-server.git,1.0.4,3469,963,68,3.98%,4.7753623188406,0,810,156,551,0
git@github.com:thephpleague/oauth2-server.git,1.0.5,3467,961,68,3.98%,4.7753623188406,0,810,156,551,0
