repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,0.1.2,88,2,3,0.00%,3.2,0,372,16,3,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,0.1.3,88,2,3,0.00%,3.2,0,372,16,3,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,0.1.4,88,2,3,0.00%,3,0,372,16,0,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,0.1.5,88,2,3,0.00%,3,0,372,16,0,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,0.2.0,221,89,8,0.00%,2.625,0,372,16,4,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,0.2.1,284,126,9,0.00%,2.6470588235294,0,372,16,6,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,1.0.0,515,225,5,0.00%,2.1724137931034,0,372,16,4,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,1.1.0,543,237,6,0.00%,2.1935483870968,0,372,16,3,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,1.2.0,459,180,1,0.00%,2.5,0,372,16,4,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,1.2.1,444,170,0,0.00%,2.52,0,372,16,3,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,1.2.2,443,170,0,0.00%,2.52,0,372,16,3,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,1.2.3,475,170,0,0.00%,2.5714285714286,0,372,16,3,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,1.3.0,464,167,0,0.00%,2.6666666666667,0,372,16,3,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.0.0,424,0,9,0.00%,2.2727272727273,0,372,16,2,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.1.0,432,0,8,0.00%,2.1739130434783,0,372,16,1,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.1.1,620,4,24,0.00%,2.4333333333333,0,372,16,6,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.2.0,708,4,25,0.00%,2.4179104477612,0,372,16,6,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.2.1,715,4,25,0.00%,2.4057971014493,0,372,16,13,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.2.2,693,3,27,0.00%,2.4057971014493,0,372,16,13,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.3.0,639,6,37,0.00%,3.2181818181818,0,372,16,36,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.3.1,640,6,37,0.00%,3.2181818181818,0,372,16,36,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.4.0,664,6,38,0.00%,3.2241379310345,0,372,16,39,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.5.0,658,6,37,0.00%,3.1724137931034,0,372,16,39,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.6.0,829,6,50,0.00%,4.1230769230769,0,372,16,48,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.6.1,881,7,53,0.00%,4.3382352941176,0,372,16,47,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.6.2,881,7,53,0.00%,4.3382352941176,0,372,16,47,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.6.3,889,7,53,0.00%,4.3188405797101,0,372,16,47,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.6.4,891,7,53,0.00%,4.3333333333333,0,372,16,47,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.7.0,928,8,54,0.00%,4.2432432432432,0,372,16,47,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.7.1,930,8,55,0.00%,4.2567567567568,0,372,16,48,0
git@github.com:thiagoalessio/tesseract-ocr-for-php.git,2.7.2,975,8,59,0.00%,4.2820512820513,0,372,16,48,0
