repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.0.0,452,206,30,0.00%,6.8181818181818,0,156,26,24,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.0.1,502,229,32,0.00%,6.6666666666667,0,156,26,27,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.0.2,505,232,32,0.00%,6.6666666666667,0,156,26,27,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.0.3,533,255,33,0.00%,7,0,156,26,28,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.0.4,593,284,37,0.00%,6.4285714285714,0,156,26,29,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.0.5,699,313,53,0.00%,8.4285714285714,0,156,26,38,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.0.6,750,338,54,0.00%,7.5625,0,156,26,41,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.1.0,726,294,54,0.00%,7.5625,0,156,26,41,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.2.0,728,294,54,0.00%,7.625,0,156,26,41,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.2.1,752,307,55,0.00%,7.2941176470588,0,156,26,44,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.3.0,745,303,53,0.00%,7.1764705882353,0,156,26,42,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.4.0,676,270,52,0.00%,7.1875,0,156,26,42,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.4.1,684,272,56,0.00%,7.1875,0,156,26,42,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.4.2,907,278,60,0.00%,6.030303030303,0,156,26,49,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.4.3,1003,320,56,0.00%,5.5945945945946,0,156,26,62,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.4.4,1003,320,56,0.00%,5.5945945945946,0,156,26,62,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.5.0,1040,321,57,0.00%,5.5945945945946,0,156,26,62,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.5.1,1126,324,57,0.00%,4.9111111111111,0,156,26,66,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.5.2,1142,330,59,0.00%,4.9777777777778,0,156,26,68,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.5.3,1146,330,58,0.00%,4.9130434782609,0,156,26,68,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.5.4,1170,340,61,0.00%,4.9787234042553,0,156,26,68,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,1.5.5,1215,344,64,0.00%,4.9795918367347,0,156,26,70,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,2.0.0,1412,237,46,0.85%,4.04,0,156,26,31,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,2.1.0,1481,242,47,0.81%,4.1375,0,156,26,31,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,2.2.0,1517,232,41,0.79%,4.0361445783133,0,156,26,28,0
git@github.com:tijsverkoyen/CssToInlineStyles.git,2.2.1,1556,232,41,0.77%,4.0238095238095,0,156,26,29,0
