repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:timber/timber.git,v0.10.1,22898,6089,1558,0.51%,3.546218487395,0,387,205,1521,0
git@github.com:timber/timber.git,0.10.2,22912,6090,1558,0.51%,3.5406538139145,0,387,205,1521,0
git@github.com:timber/timber.git,0.10.3,17146,4975,1454,0.50%,3.4740566037736,0,387,205,1333,0
git@github.com:timber/timber.git,0.10.4,17573,4985,1486,0.24%,3.4608294930876,0,387,205,1328,0
git@github.com:timber/timber.git,0.10.6,17667,4991,1495,0.24%,3.4897494305239,0,387,205,1349,0
git@github.com:timber/timber.git,0.10.7,17607,4993,1494,0.24%,3.4632768361582,0,387,205,1350,0
git@github.com:timber/timber.git,0.13.0,17373,4996,1475,0.00%,3.6048387096774,0,387,205,1339,0
git@github.com:timber/timber.git,0.13.5,17408,4998,1479,0.00%,3.6045977011494,0,387,205,1340,0
git@github.com:timber/timber.git,0.14.0,17505,5001,1493,0.00%,3.5983981693364,0,387,205,1353,0
git@github.com:timber/timber.git,0.14.1,17594,5008,1506,0.00%,3.5934314835787,0,387,205,1357,0
git@github.com:timber/timber.git,0.15.0,18403,5281,1548,0.00%,3.558568329718,0,387,205,1404,0
git@github.com:timber/timber.git,0.15.1,18442,5282,1559,0.00%,3.5638528138528,0,387,205,1404,0
git@github.com:timber/timber.git,0.15.2,18535,5281,1574,0.00%,3.5550802139037,0,387,205,1402,0
git@github.com:timber/timber.git,0.15.3,19241,5377,1650,0.00%,3.6493374108053,0,387,205,1467,0
git@github.com:timber/timber.git,0.15.4,19584,5388,1695,0.00%,3.735,0,387,205,1494,0
git@github.com:timber/timber.git,0.15.5,19594,5388,1695,0.00%,3.7305389221557,0,387,205,1494,0
git@github.com:timber/timber.git,0.16.0,19646,5401,1703,0.00%,3.7330677290837,0,387,205,1491,0
git@github.com:timber/timber.git,0.16.1,19648,5390,1703,0.00%,3.7219463753724,0,387,205,1489,0
git@github.com:timber/timber.git,0.16.2,19677,5390,1708,0.00%,3.7224975222993,0,387,205,1491,0
git@github.com:timber/timber.git,0.16.3,19914,5397,1736,0.00%,3.7560738581147,0,387,205,1505,0
git@github.com:timber/timber.git,0.16.4,20017,5419,1754,0.00%,3.7640232108317,0,387,205,1512,0
git@github.com:timber/timber.git,0.16.5,20000,5404,1746,0.00%,3.7799227799228,0,387,205,1507,0
git@github.com:timber/timber.git,0.16.6,20087,5406,1757,0.00%,3.790987535954,0,387,205,1514,0
git@github.com:timber/timber.git,0.16.8,20156,5406,1772,0.00%,3.810888252149,0,387,205,1522,0
