repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:top-think/framework.git,v5.0.0,36877,11399,3775,0.63%,4.9432989690722,0,697,132,1911,0
git@github.com:top-think/framework.git,v5.0.1,37132,11429,3817,0.55%,4.975625400898,0,697,132,1954,0
git@github.com:top-think/framework.git,v5.0.2,37518,11496,3913,0.55%,5.03125,0,697,132,2003,0
git@github.com:top-think/framework.git,v5.0.3,37651,11541,3952,0.52%,5.0413749204328,0,697,132,2006,0
git@github.com:top-think/framework.git,v5.0.4,39443,12127,4075,0.54%,4.9843467790488,0,697,132,2118,0
git@github.com:top-think/framework.git,v5.0.5,40507,12514,4219,0.56%,4.97539543058,0,697,132,2188,0
git@github.com:top-think/framework.git,v5.0.6,40667,12555,4260,0.56%,4.9859894921191,0,697,132,2218,0
git@github.com:top-think/framework.git,v5.0.7,40875,12639,4280,0.60%,4.9750580046404,0,697,132,2244,0
git@github.com:top-think/framework.git,v5.0.8,41752,12887,4364,0.59%,4.9846851956892,0,697,132,2297,0
git@github.com:top-think/framework.git,v5.0.9,41858,12890,4387,0.59%,4.9920724801812,0,697,132,2321,0
git@github.com:top-think/framework.git,5.0.10,41952,12909,4409,0.59%,4.9847543760587,0,697,132,2345,0
git@github.com:top-think/framework.git,v5.0.10,41954,12909,4411,0.59%,4.9853190287973,0,697,132,2345,0
git@github.com:top-think/framework.git,v5.0.11,42527,12965,4469,0.59%,5.0140056022409,0,697,132,2394,0
git@github.com:top-think/framework.git,5.0.11,41997,13312,4318,0.62%,4.5893805309735,0,697,132,2257,0
git@github.com:top-think/framework.git,v5.0.12,43342,13055,4504,0.58%,5.049945115258,0,697,132,2434,0
git@github.com:top-think/framework.git,v5.0.13,44167,13570,4516,0.58%,4.9918211559433,0,697,132,2436,0
git@github.com:top-think/framework.git,v5.0.14,44298,13599,4539,0.65%,4.9978225367447,0,697,132,2441,0
git@github.com:top-think/framework.git,v5.0.15,44375,13625,4548,0.65%,4.9961977186312,0,697,132,2444,0
git@github.com:top-think/framework.git,v5.0.16,44496,13636,4572,0.59%,5.0103092783505,0,697,132,2454,0
git@github.com:top-think/framework.git,v5.0.17,44666,13699,4590,0.59%,5.0059427336575,0,697,132,2466,0
git@github.com:top-think/framework.git,v5.0.18,44680,13699,4592,0.59%,5.0075634792004,0,697,132,2469,0
git@github.com:top-think/framework.git,v5.0.19,44755,13722,4605,0.59%,5.0075553157043,0,697,132,2471,0
git@github.com:top-think/framework.git,v5.0.20,44793,13729,4616,0.59%,5.0097087378641,0,697,132,2481,0
git@github.com:top-think/framework.git,v5.0.21,44865,13746,4622,0.50%,5.0134698275862,0,697,132,2485,0
git@github.com:top-think/framework.git,v5.0.22,45027,13797,4641,0.50%,5.0085882984434,0,697,132,2490,0
git@github.com:top-think/framework.git,v5.0.23,45230,13882,4652,0.50%,4.9978666666667,0,697,132,2496,0
git@github.com:top-think/framework.git,v5.0.24,45280,13890,4659,0.61%,5.0031982942431,0,697,132,2505,0
git@github.com:top-think/framework.git,v5.1.0,44640,15105,4402,0.54%,4.5429061784897,0,697,132,2296,0
git@github.com:top-think/framework.git,v5.1.1,44639,15104,4402,0.54%,4.5429061784897,0,697,132,2298,0
git@github.com:top-think/framework.git,v5.1.2,44736,15129,4410,0.53%,4.5330296127563,0,697,132,2301,0
git@github.com:top-think/framework.git,5.1.3,44939,15213,4426,0.53%,4.5218130311615,0,697,132,2306,0
git@github.com:top-think/framework.git,v5.1.3,44939,15213,4426,0.53%,4.5218130311615,0,697,132,2306,0
git@github.com:top-think/framework.git,v5.1.4,45346,15339,4455,0.53%,4.5104225352113,0,697,132,2328,0
git@github.com:top-think/framework.git,v5.1.5,45598,15420,4464,0.52%,4.4882681564246,0,697,132,2327,0
git@github.com:top-think/framework.git,v5.1.6,46612,15785,4544,0.46%,4.4418604651163,0,697,132,2280,0
git@github.com:top-think/framework.git,v5.1.7,46611,15781,4545,0.46%,4.4424012979989,0,697,132,2279,0
git@github.com:top-think/framework.git,v5.1.8,46621,15773,4552,0.46%,4.4338195569962,0,697,132,2284,0
git@github.com:top-think/framework.git,v5.1.9,46712,15797,4557,0.48%,4.4302638664513,0,697,132,2289,0
git@github.com:top-think/framework.git,v5.1.10,46750,15798,4572,0.48%,4.4321851453175,0,697,132,2298,0
git@github.com:top-think/framework.git,v5.1.11,46860,15832,4587,0.48%,4.4395486297689,0,697,132,2304,0
git@github.com:top-think/framework.git,v5.1.12,46893,15855,4601,0.48%,4.4400859752821,0,697,132,2301,0
git@github.com:top-think/framework.git,v5.1.13,47229,15978,4639,0.47%,4.4315396909963,0,697,132,2333,0
git@github.com:top-think/framework.git,v5.1.14,47726,16170,4640,0.47%,4.3656755346896,0,697,132,2359,0
git@github.com:top-think/framework.git,v5.1.15,47962,16229,4638,0.47%,4.3545548654244,0,697,132,2392,0
git@github.com:top-think/framework.git,v5.1.16,48091,16309,4630,0.47%,4.3232271325797,0,697,132,2405,0
git@github.com:top-think/framework.git,v5.1.17,48450,16426,4679,0.58%,4.3289070480082,0,697,132,2424,0
git@github.com:top-think/framework.git,v5.1.18,48593,16482,4682,0.57%,4.3152284263959,0,697,132,2425,0
git@github.com:top-think/framework.git,v5.1.19,48637,16499,4685,0.57%,4.3048101265823,0,697,132,2424,0
git@github.com:top-think/framework.git,v5.1.20,48887,16569,4718,0.71%,4.3089717741935,0,697,132,2434,0
git@github.com:top-think/framework.git,v5.1.21,49400,16716,4752,0.70%,4.2869866402771,0,697,132,2460,0
git@github.com:top-think/framework.git,v5.1.22,49839,16904,4806,0.67%,4.25830078125,0,697,132,2466,0
git@github.com:top-think/framework.git,v5.1.23,50078,16981,4844,0.66%,4.2596013612056,0,697,132,2482,0
git@github.com:top-think/framework.git,v5.1.24,50687,17123,4894,0.64%,4.2577071290944,0,697,132,2520,0
git@github.com:top-think/framework.git,v5.1.25,50750,17141,4902,0.64%,4.2443482443482,0,697,132,2525,0
git@github.com:top-think/framework.git,v5.1.26,50805,17147,4925,0.64%,4.2496392496392,0,697,132,2534,0
git@github.com:top-think/framework.git,v5.1.27,50817,17151,4926,0.64%,4.2520442520443,0,697,132,2534,0
git@github.com:top-think/framework.git,v5.1.28,50986,17200,4959,0.64%,4.2532374100719,0,697,132,2535,0
git@github.com:top-think/framework.git,v5.1.29,51013,17210,4964,0.69%,4.2537170263789,0,697,132,2540,0
git@github.com:top-think/framework.git,v5.1.30,51051,17217,4975,0.69%,4.2559923298178,0,697,132,2545,0
git@github.com:top-think/framework.git,v5.1.31,51106,17238,4982,0.71%,4.2521531100478,0,697,132,2547,0
git@github.com:top-think/framework.git,v5.1.32,51247,17277,4995,0.70%,4.2546494992847,0,697,132,2558,0
