repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:top-think/think.git,5.0.0,423,221,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.1,423,221,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.2,423,221,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.3,431,225,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.4,431,225,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.5,438,228,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.6,434,226,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.7,434,226,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.8,436,227,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.9,436,227,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.10,436,227,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.11,439,227,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.12,439,227,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.13,439,227,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.14,437,226,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.15,437,226,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.16,437,226,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.18,439,227,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.19,441,228,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.20,441,228,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.22,443,229,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.23,443,229,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.0.24,443,229,2,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.0,478,268,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.5,498,280,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.6,512,287,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.8,533,300,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.10,533,300,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.11,535,301,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.12,537,302,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.13,551,312,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.14,555,314,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.15,557,315,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.16,575,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.17,575,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.19,575,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.20,575,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.21,575,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.22,575,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.23,575,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.24,576,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.25,576,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.26,576,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.27,576,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.28,576,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.29,576,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.31,576,328,1,0.00%,1,0,1384,52,1,0
git@github.com:top-think/think.git,v5.1.32,576,328,1,0.00%,1,0,1384,52,1,0
