repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:twigphp/Twig.git,v0.9.0,6100,1471,318,0.00%,2.8558823529412,0,1018,339,482,0
git@github.com:twigphp/Twig.git,v0.9.1,6335,1498,338,0.00%,2.8616714697406,0,1018,339,505,0
git@github.com:twigphp/Twig.git,v0.9.2,6647,1519,362,0.47%,2.9635854341737,0,1018,339,567,0
git@github.com:twigphp/Twig.git,v0.9.4,6690,1538,371,0.46%,2.931129476584,0,1018,339,604,0
git@github.com:twigphp/Twig.git,v0.9.5,7229,1577,425,0.43%,2.9426433915212,0,1018,339,681,0
git@github.com:twigphp/Twig.git,v0.9.6,7172,1628,460,0.40%,3.1995305164319,0,1018,339,681,0
git@github.com:twigphp/Twig.git,v0.9.7,10676,2978,490,0.29%,3.4918918918919,0,1018,339,765,0
git@github.com:twigphp/Twig.git,v0.9.8,10839,2990,498,0.29%,3.4778761061947,0,1018,339,798,0
git@github.com:twigphp/Twig.git,v0.9.9,11579,3211,552,0.27%,3.2802653399668,0,1018,339,820,0
git@github.com:twigphp/Twig.git,v0.9.10,11938,3305,581,0.26%,3.1932907348243,0,1018,339,818,0
git@github.com:twigphp/Twig.git,v1.0.0,12344,3806,598,0.25%,3.1824,0,1018,339,761,0
git@github.com:twigphp/Twig.git,v1.1.0,12979,3881,667,0.25%,3.3147286821705,0,1018,339,850,0
git@github.com:twigphp/Twig.git,v1.1.1,12997,3886,669,0.25%,3.3245341614907,0,1018,339,851,0
git@github.com:twigphp/Twig.git,v1.1.2,13648,4352,675,0.23%,3.3236641221374,0,1018,339,904,0
git@github.com:twigphp/Twig.git,v1.2.0,14197,4463,709,0.23%,3.334788937409,0,1018,339,917,0
git@github.com:twigphp/Twig.git,v1.3.0,14359,4516,724,0.22%,3.3574529667149,0,1018,339,955,0
git@github.com:twigphp/Twig.git,v1.4.0,15047,4669,785,0.21%,3.2654986522911,0,1018,339,1008,0
git@github.com:twigphp/Twig.git,v1.5.0,16131,4916,854,0.20%,3.3008739076155,0,1018,339,1057,0
git@github.com:twigphp/Twig.git,v1.5.1,16145,4920,855,0.20%,3.3054862842893,0,1018,339,1058,0
git@github.com:twigphp/Twig.git,v1.6.0,16491,4979,889,0.19%,3.3550368550369,0,1018,339,1069,0
git@github.com:twigphp/Twig.git,v1.6.1,16557,5004,901,0.19%,3.3578431372549,0,1018,339,1074,0
git@github.com:twigphp/Twig.git,v1.6.2,16570,5017,901,0.19%,3.3537331701346,0,1018,339,1076,0
git@github.com:twigphp/Twig.git,v1.6.3,16636,5024,897,0.19%,3.35,0,1018,339,1081,0
