repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:vlucas/phpdotenv.git,v1.0.0,97,18,5,0.00%,5.8,0,408,52,4,0
git@github.com:vlucas/phpdotenv.git,v1.0.1,97,18,5,0.00%,5.8,0,408,52,4,0
git@github.com:vlucas/phpdotenv.git,v1.0.2,153,27,8,0.00%,4.7,0,408,52,4,0
git@github.com:vlucas/phpdotenv.git,v1.0.3,154,27,8,0.00%,4.8,0,408,52,4,0
git@github.com:vlucas/phpdotenv.git,v1.0.4,155,28,9,0.00%,4.8,0,408,52,4,0
git@github.com:vlucas/phpdotenv.git,v1.0.5,155,28,9,0.00%,4.8,0,408,52,4,0
git@github.com:vlucas/phpdotenv.git,v1.0.6,178,33,10,0.00%,4.5833333333333,0,408,52,2,0
git@github.com:vlucas/phpdotenv.git,v1.0.7,377,105,18,0.00%,3.72,0,408,52,9,0
git@github.com:vlucas/phpdotenv.git,v1.0.8,404,110,19,0.00%,3.7777777777778,0,408,52,9,0
git@github.com:vlucas/phpdotenv.git,v1.0.9,434,109,22,0.00%,4.3333333333333,0,408,52,12,0
git@github.com:vlucas/phpdotenv.git,v1.1.0,435,109,22,0.00%,4.3333333333333,0,408,52,12,0
git@github.com:vlucas/phpdotenv.git,v1.1.1,491,148,22,0.00%,4.2068965517241,0,408,52,12,0
git@github.com:vlucas/phpdotenv.git,v2.0.0,728,213,22,0.00%,3.953488372093,0,408,52,20,0
git@github.com:vlucas/phpdotenv.git,v2.0.1,806,281,22,0.00%,3.953488372093,0,408,52,20,0
git@github.com:vlucas/phpdotenv.git,v2.1.0,1026,370,25,0.00%,4.1090909090909,0,408,52,21,0
git@github.com:vlucas/phpdotenv.git,v2.1.1,1014,355,25,0.00%,4.1090909090909,0,408,52,21,0
git@github.com:vlucas/phpdotenv.git,v2.2.0,1072,378,24,0.00%,4.0181818181818,0,408,52,20,0
git@github.com:vlucas/phpdotenv.git,v2.2.1,1091,392,24,0.00%,4.0363636363636,0,408,52,20,0
git@github.com:vlucas/phpdotenv.git,v2.3.0,1107,401,27,0.00%,3.9821428571429,0,408,52,20,0
git@github.com:vlucas/phpdotenv.git,v2.4.0,1111,401,29,0.00%,3.9821428571429,0,408,52,21,0
git@github.com:vlucas/phpdotenv.git,v2.5.0,1332,459,35,0.00%,3.7826086956522,0,408,52,28,0
git@github.com:vlucas/phpdotenv.git,v2.5.1,1337,459,35,0.00%,3.8115942028986,0,408,52,30,0
git@github.com:vlucas/phpdotenv.git,v2.5.2,1337,459,35,0.00%,3.8115942028986,0,408,52,30,0
git@github.com:vlucas/phpdotenv.git,v3.0.0,2294,858,50,0.00%,2.6953125,0,408,52,26,0
git@github.com:vlucas/phpdotenv.git,v3.1.0,2746,1032,49,0.00%,2.4901960784314,0,408,52,41,0
