repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:vrana/adminer.git,v3.0.0,12660,1248,2048,0.00%,3.2364532019704,0,642,110,620,0
git@github.com:vrana/adminer.git,v3.0.1,13004,1269,2063,0.00%,3.2,0,642,110,621,0
git@github.com:vrana/adminer.git,v3.1.0,13756,1310,2077,0.00%,3.3943661971831,0,642,110,628,0
git@github.com:vrana/adminer.git,v3.2.0,15663,1531,2257,0.00%,3.3505154639175,0,642,110,654,0
git@github.com:vrana/adminer.git,v3.2.1,15861,1579,2285,0.00%,3.3724832214765,0,642,110,667,0
git@github.com:vrana/adminer.git,v3.2.2,15904,1588,2299,0.00%,3.3866666666667,0,642,110,668,0
git@github.com:vrana/adminer.git,v3.3.0,16904,1685,2387,0.00%,3.3853503184713,0,642,110,673,0
git@github.com:vrana/adminer.git,v3.3.1,16997,1708,2410,0.00%,3.4025157232704,0,642,110,681,0
git@github.com:vrana/adminer.git,v3.3.2,17036,1711,2417,0.00%,3.4025157232704,0,642,110,683,0
git@github.com:vrana/adminer.git,v3.3.3,17151,1739,2432,0.00%,3.3858024691358,0,642,110,688,0
git@github.com:vrana/adminer.git,v3.3.4,17565,1778,2452,0.00%,3.3677811550152,0,642,110,693,0
git@github.com:vrana/adminer.git,v3.4.0,18911,1860,2471,0.00%,3.392749244713,0,642,110,696,0
git@github.com:vrana/adminer.git,v3.5.0,19021,1860,2509,0.00%,3.4199395770393,0,642,110,699,0
git@github.com:vrana/adminer.git,v3.5.1,19038,1864,2517,0.00%,3.429003021148,0,642,110,699,0
git@github.com:vrana/adminer.git,v3.6.0,19706,1926,2581,0.00%,3.3970588235294,0,642,110,737,0
git@github.com:vrana/adminer.git,v3.6.1,19709,1929,2581,0.00%,3.3970588235294,0,642,110,737,0
git@github.com:vrana/adminer.git,v3.6.2,19746,1941,2583,0.00%,3.4,0,642,110,739,0
git@github.com:vrana/adminer.git,v3.6.3,19793,1952,2588,0.00%,3.3837209302326,0,642,110,739,0
git@github.com:vrana/adminer.git,v3.6.4,20046,1997,2616,0.00%,3.3545706371191,0,642,110,756,0
git@github.com:vrana/adminer.git,v3.7.0,20318,2009,2626,0.00%,3.3516483516484,0,642,110,772,0
git@github.com:vrana/adminer.git,v3.7.1,20715,2020,2665,0.00%,3.3596730245232,0,642,110,777,0
git@github.com:vrana/adminer.git,v4.0.0,22901,2111,2942,0.10%,3.4278959810875,0,642,110,886,0
git@github.com:vrana/adminer.git,v4.0.1,22979,2128,2958,0.10%,3.4282352941176,0,642,110,900,0
git@github.com:vrana/adminer.git,v4.0.2,22981,2128,2958,0.10%,3.4282352941176,0,642,110,900,0
git@github.com:vrana/adminer.git,v4.0.3,23372,2150,2977,0.10%,3.4088785046729,0,642,110,910,0
git@github.com:vrana/adminer.git,v4.1.0,23865,2197,3006,0.00%,3.4201877934272,0,642,110,937,0
git@github.com:vrana/adminer.git,v4.2.0,24704,2242,3069,0.00%,3.3883928571429,0,642,110,957,0
git@github.com:vrana/adminer.git,v4.2.1,24761,2249,3073,0.00%,3.3919821826281,0,642,110,957,0
git@github.com:vrana/adminer.git,v4.2.2,24762,2249,3073,0.00%,3.3919821826281,0,642,110,957,0
git@github.com:vrana/adminer.git,v4.2.3,25736,2285,3073,0.00%,3.3919821826281,0,642,110,958,0
git@github.com:vrana/adminer.git,v4.2.4,26398,2317,3076,0.00%,3.3919821826281,0,642,110,959,0
git@github.com:vrana/adminer.git,v4.2.5,26419,2317,3079,0.00%,3.3964365256125,0,642,110,959,0
git@github.com:vrana/adminer.git,v4.3.0,26835,2400,3151,0.00%,3.4258064516129,0,642,110,971,0
git@github.com:vrana/adminer.git,v4.3.1,26871,2400,3153,0.00%,3.4258064516129,0,642,110,972,0
git@github.com:vrana/adminer.git,v4.4.0,27300,2431,3169,0.00%,3.4501061571125,0,642,110,972,0
git@github.com:vrana/adminer.git,v4.5.0,27933,2459,3269,0.13%,3.5423387096774,0,642,110,1047,0
git@github.com:vrana/adminer.git,v4.6.0,28364,2485,3291,0.13%,3.546,0,642,110,1049,0
git@github.com:vrana/adminer.git,v4.6.1,28593,2528,3311,0.13%,3.4446564885496,0,642,110,1057,0
git@github.com:vrana/adminer.git,v4.6.2,28649,2534,3317,0.13%,3.4465648854962,0,642,110,1057,0
git@github.com:vrana/adminer.git,v4.6.3,28760,2550,3334,0.13%,3.3738317757009,0,642,110,1053,0
git@github.com:vrana/adminer.git,v4.7.0,29497,2558,3376,0.13%,3.372972972973,0,642,110,1066,0
