repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:walkor/Workerman.git,v2.1.6,12025,3459,1044,3.12%,5.6724137931034,0,1863,65,611,2
git@github.com:walkor/Workerman.git,v3.1.1,8128,2647,649,0.43%,5.7179487179487,0,1863,65,346,0
git@github.com:walkor/Workerman.git,v3.1.2,8164,2664,652,0.43%,5.7116788321168,0,1863,65,347,0
git@github.com:walkor/Workerman.git,v3.1.3,8213,2687,654,0.43%,5.6992753623188,0,1863,65,349,0
git@github.com:walkor/Workerman.git,v3.1.4,8018,2634,645,0.44%,5.6776556776557,0,1863,65,344,0
git@github.com:walkor/Workerman.git,v3.1.5,4729,1608,432,0.74%,8.4666666666667,0,1863,65,257,0
git@github.com:walkor/Workerman.git,v3.1.6,4729,1608,432,0.74%,8.4666666666667,0,1863,65,257,0
git@github.com:walkor/Workerman.git,v3.1.7,4774,1620,440,0.73%,8.6,0,1863,65,259,0
git@github.com:walkor/Workerman.git,v3.1.8,4661,1582,437,0.75%,8.7254901960784,0,1863,65,255,0
git@github.com:walkor/Workerman.git,v3.1.9,4668,1584,436,0.75%,8.7524752475248,0,1863,65,256,0
git@github.com:walkor/Workerman.git,v3.2.0,4672,1583,438,0.75%,8.7722772277228,0,1863,65,256,0
git@github.com:walkor/Workerman.git,v3.2.2,4742,1611,444,0.74%,8.7184466019417,0,1863,65,258,0
git@github.com:walkor/Workerman.git,v3.2.5,4752,1611,446,0.74%,8.7572815533981,0,1863,65,260,0
git@github.com:walkor/Workerman.git,v3.2.6,4760,1611,448,0.74%,8.7766990291262,0,1863,65,261,0
git@github.com:walkor/Workerman.git,v3.2.7,4715,1621,441,0.74%,8.5686274509804,0,1863,65,234,0
git@github.com:walkor/Workerman.git,v3.2.8,5102,1690,485,0.69%,8.8504672897196,0,1863,65,303,0
git@github.com:walkor/Workerman.git,v3.2.9,5016,1580,485,0.70%,8.8240740740741,0,1863,65,301,0
git@github.com:walkor/Workerman.git,v3.3.0,5072,1609,486,0.69%,8.6396396396396,0,1863,65,301,0
git@github.com:walkor/Workerman.git,v3.3.1,5468,2012,567,2.14%,9.0737704918033,0,1863,65,345,0
git@github.com:walkor/Workerman.git,v3.3.3,5598,2025,601,2.25%,9.5245901639344,0,1863,65,404,0
git@github.com:walkor/Workerman.git,v3.3.4,5700,2045,623,2.18%,9.424,0,1863,65,419,0
git@github.com:walkor/Workerman.git,v3.3.5,5890,2090,656,2.33%,9.7076923076923,0,1863,65,445,0
