repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:webonyx/graphql-php.git,v0.5.1,21851,2427,1134,1.91%,2.9469026548673,0,272,64,934,0
git@github.com:webonyx/graphql-php.git,v0.5.2,21869,2438,1134,1.91%,2.9444444444444,0,272,64,934,0
git@github.com:webonyx/graphql-php.git,v0.5.3,21903,2438,1134,1.91%,2.9432534678436,0,272,64,937,0
git@github.com:webonyx/graphql-php.git,v0.5.4,21949,2439,1136,1.90%,2.9444444444444,0,272,64,944,0
git@github.com:webonyx/graphql-php.git,v0.5.5,21964,2446,1136,1.90%,2.9457070707071,0,272,64,946,0
git@github.com:webonyx/graphql-php.git,v0.5.6,22017,2451,1139,1.90%,2.9508196721311,0,272,64,950,0
git@github.com:webonyx/graphql-php.git,v0.5.7,22074,2464,1144,1.89%,2.9571248423707,0,272,64,956,0
git@github.com:webonyx/graphql-php.git,v0.5.8,22074,2464,1144,1.85%,2.9571248423707,0,272,64,956,0
git@github.com:webonyx/graphql-php.git,v0.5.9,22229,2464,1144,1.84%,2.9571248423707,0,272,64,957,0
git@github.com:webonyx/graphql-php.git,v0.6.0,23281,2600,1212,1.75%,2.9359720605355,0,272,64,997,0
git@github.com:webonyx/graphql-php.git,v0.6.1,23293,2605,1213,1.75%,2.9417249417249,0,272,64,997,0
git@github.com:webonyx/graphql-php.git,v0.6.2,23340,2615,1214,1.75%,2.9419279907085,0,272,64,998,0
git@github.com:webonyx/graphql-php.git,v0.6.3,23407,2615,1215,1.74%,2.9431554524362,0,272,64,999,0
git@github.com:webonyx/graphql-php.git,v0.6.4,23281,2609,1209,1.75%,2.9315545243619,0,272,64,992,0
git@github.com:webonyx/graphql-php.git,v0.7.0,30031,4522,1327,0.60%,2.7707930367505,0,272,64,1152,0
git@github.com:webonyx/graphql-php.git,v0.7.1,30031,4522,1327,0.60%,2.7707930367505,0,272,64,1152,0
git@github.com:webonyx/graphql-php.git,v0.7.2,30031,4522,1327,0.60%,2.7707930367505,0,272,64,1152,0
git@github.com:webonyx/graphql-php.git,v0.8.0,35762,5961,1557,0.26%,2.8764705882353,0,272,64,1426,0
git@github.com:webonyx/graphql-php.git,v0.9.0,40551,6538,1671,0.23%,3.0389197776013,0,272,64,1654,0
git@github.com:webonyx/graphql-php.git,v0.9.1,40593,6566,1673,0.23%,3.0389197776013,0,272,64,1655,0
git@github.com:webonyx/graphql-php.git,v0.9.2,40748,6601,1675,0.23%,3.0492063492063,0,272,64,1667,0
git@github.com:webonyx/graphql-php.git,v0.9.3,40770,6601,1676,0.23%,3.050753370341,0,272,64,1669,0
git@github.com:webonyx/graphql-php.git,v0.9.4,43358,6846,1774,0.21%,3.0583887657058,0,272,64,1762,0
git@github.com:webonyx/graphql-php.git,v0.9.5,43359,6846,1774,0.21%,3.0583887657058,0,272,64,1762,0
git@github.com:webonyx/graphql-php.git,v0.9.6,44191,6928,1791,0.81%,3.0588235294118,0,272,64,1782,0
git@github.com:webonyx/graphql-php.git,v0.9.7,44350,6929,1791,1.01%,3.0588235294118,0,272,64,1784,0
git@github.com:webonyx/graphql-php.git,v0.9.8,44465,6937,1801,1.01%,3.0628158844765,0,272,64,1795,0
git@github.com:webonyx/graphql-php.git,v0.9.9,44480,6945,1801,1.01%,3.0628158844765,0,272,64,1795,0
git@github.com:webonyx/graphql-php.git,v0.9.10,44521,6945,1802,1.01%,3.0628158844765,0,272,64,1796,0
git@github.com:webonyx/graphql-php.git,v0.9.11,44701,6965,1804,1.00%,3.0494269340974,0,272,64,1801,0
git@github.com:webonyx/graphql-php.git,v0.9.12,44915,6989,1831,1.00%,3.0776353276353,0,272,64,1815,0
git@github.com:webonyx/graphql-php.git,v0.9.13,45012,6993,1839,1.00%,3.0825035561878,0,272,64,1822,0
git@github.com:webonyx/graphql-php.git,v0.9.14,45032,7003,1839,1.00%,3.0795454545455,0,272,64,1822,0
git@github.com:webonyx/graphql-php.git,v0.10.0,57211,9749,2337,1.24%,3.1835803876853,0,272,64,2328,0
git@github.com:webonyx/graphql-php.git,v0.10.1,57333,9752,2339,1.23%,3.1896649630892,0,272,64,2329,0
git@github.com:webonyx/graphql-php.git,v0.10.2,57357,9755,2340,1.23%,3.1918274687855,0,272,64,2330,0
git@github.com:webonyx/graphql-php.git,v0.11.0,57864,9822,2352,1.22%,3.2046848856665,0,272,64,2365,0
git@github.com:webonyx/graphql-php.git,v0.11.1,57897,9823,2356,1.22%,3.2058003346347,0,272,64,2366,0
git@github.com:webonyx/graphql-php.git,v0.11.2,57954,9823,2357,1.22%,3.2077994428969,0,272,64,2369,0
