repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:wikimedia/mediawiki.git,1.1.0,54383,847,246,0.08%,7.1428571428571,0,652,865,428,126
git@github.com:wikimedia/mediawiki.git,1.2.0,72538,7833,3205,2.94%,5.1507376523412,0,652,865,5712,2
git@github.com:wikimedia/mediawiki.git,1.2.1,72616,7840,3224,2.56%,5.1507376523412,0,652,865,5715,2
git@github.com:wikimedia/mediawiki.git,1.2.2,72619,7843,3223,2.56%,5.1513790891597,0,652,865,5715,2
git@github.com:wikimedia/mediawiki.git,1.2.3,72649,7861,3222,2.56%,5.1533033996151,0,652,865,5711,2
git@github.com:wikimedia/mediawiki.git,1.2.4,73885,7971,3244,2.51%,5.128562381254,0,652,865,5727,2
git@github.com:wikimedia/mediawiki.git,1.2.5,73933,7978,3253,2.51%,5.1284810126582,0,652,865,5730,2
git@github.com:wikimedia/mediawiki.git,1.2.6,76494,8409,3311,2.59%,5.0604565083282,0,652,865,5800,2
git@github.com:wikimedia/mediawiki.git,1.3.0,101733,14786,4980,2.95%,5.025855513308,0,652,865,7402,1
git@github.com:wikimedia/mediawiki.git,1.3.1,101642,14768,4968,2.93%,5.0420328620558,0,652,865,7353,1
git@github.com:wikimedia/mediawiki.git,1.3.2,101759,14774,4981,2.90%,5.0477099236641,0,652,865,7373,1
git@github.com:wikimedia/mediawiki.git,1.3.3,102855,14916,4997,2.83%,5.0352807283763,0,652,865,7378,1
git@github.com:wikimedia/mediawiki.git,1.3.4,104937,15498,5059,2.82%,5.0220067139127,0,652,865,7424,1
git@github.com:wikimedia/mediawiki.git,1.3.5,104932,15498,5054,2.82%,5.0208877284595,0,652,865,7424,1
git@github.com:wikimedia/mediawiki.git,1.3.6,104991,15512,5067,2.82%,5.0227527042148,0,652,865,7429,1
git@github.com:wikimedia/mediawiki.git,1.3.7,104992,15512,5067,2.82%,5.0227527042148,0,652,865,7429,1
git@github.com:wikimedia/mediawiki.git,1.3.8,106856,15826,5107,2.76%,5.0084933530281,0,652,865,7461,1
git@github.com:wikimedia/mediawiki.git,1.3.9,106961,15850,5128,2.76%,5.0121771217712,0,652,865,7472,1
git@github.com:wikimedia/mediawiki.git,1.3.10,107078,15911,5137,2.76%,5.01215917465,0,652,865,7476,1
git@github.com:wikimedia/mediawiki.git,1.3.11,107223,15936,5159,2.75%,5.0228360957643,0,652,865,7472,1
git@github.com:wikimedia/mediawiki.git,1.3.12,107213,15934,5158,2.75%,5.0220994475138,0,652,865,7471,1
git@github.com:wikimedia/mediawiki.git,1.3.13,107229,15936,5158,2.75%,5.0228360957643,0,652,865,7476,1
git@github.com:wikimedia/mediawiki.git,1.3.14,107236,15938,5159,2.75%,5.0235727440147,0,652,865,7478,1
git@github.com:wikimedia/mediawiki.git,1.3.15,107236,15938,5159,2.75%,5.02394106814,0,652,865,7477,1
git@github.com:wikimedia/mediawiki.git,1.3.16,107237,15938,5160,2.75%,5.02394106814,0,652,865,7477,1
git@github.com:wikimedia/mediawiki.git,1.3.17,107245,15940,5161,2.75%,5.0254143646409,0,652,865,7480,1
git@github.com:wikimedia/mediawiki.git,1.3.18,107246,15940,5161,2.75%,5.0243093922652,0,652,865,7480,1
git@github.com:wikimedia/mediawiki.git,1.4.0,123209,19819,5804,1.17%,5.612051988972,0,652,865,7775,3
git@github.com:wikimedia/mediawiki.git,1.4.1,123692,19585,5942,0.76%,5.6028615622583,0,652,865,7908,3
git@github.com:wikimedia/mediawiki.git,1.4.2,123536,19414,5948,0.76%,5.6048667439166,0,652,865,7915,3
git@github.com:wikimedia/mediawiki.git,1.4.3,123796,19413,6038,0.71%,5.6361538461538,0,652,865,7950,3
git@github.com:wikimedia/mediawiki.git,1.4.4,123899,19101,6044,0.71%,5.6522578155152,0,652,865,7953,3
git@github.com:wikimedia/mediawiki.git,1.4.5,124386,19256,6061,0.71%,5.6651340996169,0,652,865,7858,3
git@github.com:wikimedia/mediawiki.git,1.4.6,126585,19372,6149,0.57%,5.6685692541857,0,652,865,7873,3
git@github.com:wikimedia/mediawiki.git,1.4.7,126582,19377,6150,0.57%,5.6685692541857,0,652,865,7880,3
git@github.com:wikimedia/mediawiki.git,1.4.8,126597,19385,6150,0.57%,5.6679345758844,0,652,865,7880,3
git@github.com:wikimedia/mediawiki.git,1.4.9,126610,19385,6150,0.57%,5.6680608365019,0,652,865,7878,3
git@github.com:wikimedia/mediawiki.git,1.4.10,126610,19385,6151,0.57%,5.6680608365019,0,652,865,7878,3
git@github.com:wikimedia/mediawiki.git,1.4.11,126617,19387,6152,0.57%,5.6695817490494,0,652,865,7878,3
git@github.com:wikimedia/mediawiki.git,1.4.12,126618,19387,6152,0.57%,5.6684410646388,0,652,865,7878,3
git@github.com:wikimedia/mediawiki.git,1.4.13,126629,19394,6153,0.57%,5.6695817490494,0,652,865,7879,3
git@github.com:wikimedia/mediawiki.git,1.4.14,126631,19395,6153,0.57%,5.6699619771863,0,652,865,7879,3
git@github.com:wikimedia/mediawiki.git,1.4.15,126635,19397,6153,0.57%,5.6699619771863,0,652,865,7879,3
git@github.com:wikimedia/mediawiki.git,1.5.0,142039,23804,7337,0.23%,6.0986771540937,0,652,865,8503,0
git@github.com:wikimedia/mediawiki.git,1.5.1,142263,23870,7348,0.25%,6.1022158684775,0,652,865,8505,0
git@github.com:wikimedia/mediawiki.git,1.5.2,142220,23858,7347,0.25%,6.1011436740529,0,652,865,8500,0
git@github.com:wikimedia/mediawiki.git,1.5.3,142165,23837,7345,0.24%,6.101822079314,0,652,865,8503,0
git@github.com:wikimedia/mediawiki.git,1.5.4,142262,23873,7345,0.24%,6.0934379457917,0,652,865,8502,0
git@github.com:wikimedia/mediawiki.git,1.5.5,142314,23889,7351,0.24%,6.0945078459344,0,652,865,8503,0
git@github.com:wikimedia/mediawiki.git,1.5.6,142342,23903,7353,0.24%,6.0945078459344,0,652,865,8510,0
git@github.com:wikimedia/mediawiki.git,1.5.7,142543,23955,7375,0.24%,6.1037063435495,0,652,865,8518,0
git@github.com:wikimedia/mediawiki.git,1.5.8,142546,23951,7376,0.24%,6.1054882394868,0,652,865,8519,0
git@github.com:wikimedia/mediawiki.git,1.6.0,172511,27241,8912,0.38%,5.7428332869468,0,652,865,9293,0
git@github.com:wikimedia/mediawiki.git,1.6.1,172590,27240,8914,0.38%,5.7425549679933,0,652,865,9294,0
git@github.com:wikimedia/mediawiki.git,1.6.2,172622,27246,8916,0.38%,5.7431116059004,0,652,865,9294,0
git@github.com:wikimedia/mediawiki.git,1.6.3,172621,27246,8916,0.38%,5.7428332869468,0,652,865,9294,0
git@github.com:wikimedia/mediawiki.git,1.6.4,174833,27412,8984,0.39%,5.747084952804,0,652,865,9338,0
git@github.com:wikimedia/mediawiki.git,1.6.5,174830,27411,8983,0.39%,5.7468073292615,0,652,865,9336,0
git@github.com:wikimedia/mediawiki.git,1.6.6,175223,27421,8986,0.39%,5.7468776019983,0,652,865,9338,0
git@github.com:wikimedia/mediawiki.git,1.6.7,175209,27419,8979,0.39%,5.7437534702943,0,652,865,9341,0
git@github.com:wikimedia/mediawiki.git,1.6.8,175104,27400,8964,0.39%,5.7445863409217,0,652,865,9276,0
git@github.com:wikimedia/mediawiki.git,1.6.9,175116,27402,8964,0.39%,5.7435470441299,0,652,865,9276,0
git@github.com:wikimedia/mediawiki.git,1.6.10,175139,27402,8968,0.39%,5.744102137108,0,652,865,9276,0
git@github.com:wikimedia/mediawiki.git,1.6.11,175158,27402,8971,0.39%,5.744657230086,0,652,865,9280,0
git@github.com:wikimedia/mediawiki.git,1.6.12,175181,27406,8974,0.39%,5.744657230086,0,652,865,9284,0
git@github.com:wikimedia/mediawiki.git,1.7.0,200135,28846,9807,0.29%,5.5292390506484,0,652,865,10040,0
git@github.com:wikimedia/mediawiki.git,1.7.1,200141,28850,9807,0.29%,5.5292390506484,0,652,865,10040,0
git@github.com:wikimedia/mediawiki.git,1.7.2,200137,28849,9807,0.29%,5.5283757338552,0,652,865,10040,0
git@github.com:wikimedia/mediawiki.git,1.7.3,200144,28849,9807,0.29%,5.5288649706458,0,652,865,10040,0
git@github.com:wikimedia/mediawiki.git,1.8.0,213057,31717,10779,0.22%,6.2456601788532,0,652,865,10432,0
git@github.com:wikimedia/mediawiki.git,1.8.1,213112,31726,10782,0.22%,6.246712256707,0,652,865,10434,0
git@github.com:wikimedia/mediawiki.git,1.8.2,213113,31726,10782,0.22%,6.2469752761704,0,652,865,10434,0
git@github.com:wikimedia/mediawiki.git,1.8.3,213115,31726,10782,0.22%,6.2469752761704,0,652,865,10434,0
git@github.com:wikimedia/mediawiki.git,1.8.4,213137,31726,10786,0.22%,6.2464492372436,0,652,865,10435,0
git@github.com:wikimedia/mediawiki.git,1.8.5,213140,31727,10786,0.22%,6.246712256707,0,652,865,10435,0
git@github.com:wikimedia/mediawiki.git,1.9.0,234123,34266,11539,0.36%,6.2148293641051,0,652,865,10891,0
git@github.com:wikimedia/mediawiki.git,1.9.1,234131,34268,11542,0.36%,6.2150748833783,0,652,865,10893,0
git@github.com:wikimedia/mediawiki.git,1.9.2,234147,34268,11546,0.36%,6.2150748833783,0,652,865,10893,0
git@github.com:wikimedia/mediawiki.git,1.9.3,234152,34268,11546,0.36%,6.2148293641051,0,652,865,10894,0
git@github.com:wikimedia/mediawiki.git,1.9.4,234163,34273,11547,0.36%,6.2155659219249,0,652,865,10894,0
git@github.com:wikimedia/mediawiki.git,1.9.5,234186,34285,11549,0.36%,6.2155659219249,0,652,865,10895,0
git@github.com:wikimedia/mediawiki.git,1.9.6,234186,34285,11549,0.36%,6.2155659219249,0,652,865,10895,0
git@github.com:wikimedia/mediawiki.git,1.10.0,267629,38271,12231,0.46%,6.1804911955514,0,652,865,11458,0
git@github.com:wikimedia/mediawiki.git,1.10.1,267697,38279,12243,0.46%,6.1869786839666,0,652,865,11459,0
git@github.com:wikimedia/mediawiki.git,1.10.2,267700,38280,12243,0.46%,6.1872103799815,0,652,865,11459,0
git@github.com:wikimedia/mediawiki.git,1.10.3,267723,38292,12245,0.46%,6.1872103799815,0,652,865,11460,0
git@github.com:wikimedia/mediawiki.git,1.10.4,267723,38292,12245,0.46%,6.1872103799815,0,652,865,11460,0
git@github.com:wikimedia/mediawiki.git,1.11.0,300232,42700,13239,0.24%,6.0377906976744,0,652,865,11934,0
git@github.com:wikimedia/mediawiki.git,1.11.1,300254,42712,13241,0.24%,6.0379983388704,0,652,865,11935,0
git@github.com:wikimedia/mediawiki.git,1.11.2,300266,42715,13243,0.24%,6.0386212624585,0,652,865,11936,0
git@github.com:wikimedia/mediawiki.git,1.12.0,439617,56844,15775,1.07%,6.3351588170865,0,652,865,13690,1
git@github.com:wikimedia/mediawiki.git,1.12.1,489231,59479,15761,1.01%,6.3280993244477,0,652,865,13682,1
git@github.com:wikimedia/mediawiki.git,1.12.2,500808,60301,15917,0.99%,6.340735347652,0,652,865,13705,1
git@github.com:wikimedia/mediawiki.git,1.12.3,500808,60301,15917,0.99%,6.340735347652,0,652,865,13705,1
git@github.com:wikimedia/mediawiki.git,1.12.4,504264,60470,15920,0.98%,6.340735347652,0,652,865,13709,1
git@github.com:wikimedia/mediawiki.git,1.13.0,539091,66532,17651,0.95%,6.3723091976517,0,652,865,14855,1
git@github.com:wikimedia/mediawiki.git,1.13.1,542973,66806,17655,0.94%,6.3714146023468,0,652,865,14866,1
git@github.com:wikimedia/mediawiki.git,1.13.2,547541,67059,17669,0.93%,6.3712516297262,0,652,865,14878,1
git@github.com:wikimedia/mediawiki.git,1.13.3,556383,67739,17826,0.93%,6.3815404614885,0,652,865,14901,1
git@github.com:wikimedia/mediawiki.git,1.13.4,565914,68401,17829,0.92%,6.3820279493013,0,652,865,14905,1
git@github.com:wikimedia/mediawiki.git,1.13.5,573560,68756,17830,0.91%,6.3814784727864,0,652,865,14908,1
git@github.com:wikimedia/mediawiki.git,1.14.0,612242,72465,18631,0.46%,6.2200598802395,0,652,865,15545,1
git@github.com:wikimedia/mediawiki.git,1.14.1,624826,74030,18632,0.45%,6.2203592814371,0,652,865,15547,1
git@github.com:wikimedia/mediawiki.git,1.15.0,653891,77215,19364,0.70%,6.2227174694464,0,652,865,16093,1
git@github.com:wikimedia/mediawiki.git,1.15.1,653903,77222,19364,0.70%,6.2219666474986,0,652,865,16093,1
git@github.com:wikimedia/mediawiki.git,1.15.2,687716,78941,19372,0.53%,6.2213279678068,0,652,865,16101,1
git@github.com:wikimedia/mediawiki.git,1.15.3,689011,79040,19382,0.52%,6.2220945266485,0,652,865,16103,1
git@github.com:wikimedia/mediawiki.git,1.15.4,691594,79239,19396,0.53%,6.2232912119472,0,652,865,16105,1
git@github.com:wikimedia/mediawiki.git,1.15.5,695322,79561,19428,0.52%,6.2038862694671,0,652,865,16119,1
git@github.com:wikimedia/mediawiki.git,1.16.0,768060,85300,21284,0.28%,6.1737229923817,0,652,865,17152,1
git@github.com:wikimedia/mediawiki.git,1.16.1,768197,85360,21288,0.28%,6.1600448374642,0,652,865,17169,1
git@github.com:wikimedia/mediawiki.git,1.16.2,790838,86392,21294,0.53%,6.1601494396015,0,652,865,17170,1
git@github.com:wikimedia/mediawiki.git,1.16.3,796957,86692,21302,0.38%,6.1607721046077,0,652,865,17172,1
git@github.com:wikimedia/mediawiki.git,1.16.4,796957,86692,21302,0.38%,6.1607721046077,0,652,865,17172,1
git@github.com:wikimedia/mediawiki.git,1.16.5,799753,86911,21303,0.37%,6.160752085668,0,652,865,17172,1
git@github.com:wikimedia/mediawiki.git,1.17.0,863174,99373,23156,0.20%,6.1283102493075,0,652,865,18080,1
git@github.com:wikimedia/mediawiki.git,1.17.1,878126,100030,23170,0.20%,6.1272143489814,0,652,865,18086,1
git@github.com:wikimedia/mediawiki.git,1.17.2,890651,100630,23171,0.51%,6.1275465013286,0,652,865,18086,1
git@github.com:wikimedia/mediawiki.git,1.17.3,892974,101085,23209,0.48%,6.1287719686084,0,652,865,18095,1
git@github.com:wikimedia/mediawiki.git,1.17.4,892985,101090,23210,0.48%,6.1291035702443,0,652,865,18097,1
git@github.com:wikimedia/mediawiki.git,1.17.5,893067,101111,23235,0.48%,6.1317563833315,0,652,865,18099,1
git@github.com:wikimedia/mediawiki.git,1.18.0,955008,117741,26147,0.20%,5.9940677192662,0,652,865,20805,1
git@github.com:wikimedia/mediawiki.git,1.18.1,968189,118383,26157,0.53%,5.9903355215171,0,652,865,20813,1
git@github.com:wikimedia/mediawiki.git,1.18.2,971202,118885,26185,0.50%,5.9908958485069,0,652,865,20823,1
git@github.com:wikimedia/mediawiki.git,1.18.3,971227,118898,26187,0.50%,5.9913510560816,0,652,865,20826,1
git@github.com:wikimedia/mediawiki.git,1.18.4,971310,118919,26212,0.50%,5.9935360524399,0,652,865,20828,1
git@github.com:wikimedia/mediawiki.git,1.18.5,970161,118906,26217,0.50%,5.9938097405553,0,652,865,20831,1
git@github.com:wikimedia/mediawiki.git,1.18.6,989016,119862,26218,0.54%,5.9940833788458,0,652,865,20832,1
git@github.com:wikimedia/mediawiki.git,1.19.0,1002554,130287,27317,0.25%,5.7942057942058,0,652,865,21555,0
git@github.com:wikimedia/mediawiki.git,1.19.1,1002668,130320,27342,0.25%,5.7964535464535,0,652,865,21559,0
git@github.com:wikimedia/mediawiki.git,1.19.2,1020650,131242,27355,0.53%,5.7952087838962,0,652,865,21566,0
git@github.com:wikimedia/mediawiki.git,1.19.3,1030220,131795,27356,0.52%,5.7954753389337,0,652,865,21567,0
git@github.com:wikimedia/mediawiki.git,1.19.4,1037569,131966,27361,0.44%,5.794479547722,0,652,865,21572,0
git@github.com:wikimedia/mediawiki.git,1.19.5,1037609,131977,27364,0.44%,5.7948291628564,0,652,865,21573,0
git@github.com:wikimedia/mediawiki.git,1.19.6,1040817,132237,27375,0.44%,5.7962593516209,0,652,865,21574,0
git@github.com:wikimedia/mediawiki.git,1.19.7,1040898,132258,27382,0.44%,5.7985204887374,0,652,865,21578,0
git@github.com:wikimedia/mediawiki.git,1.19.8,1040975,132271,27393,0.44%,5.7993850245159,0,652,865,21586,0
git@github.com:wikimedia/mediawiki.git,1.19.9,1049798,132738,27399,0.44%,5.8000830909846,0,652,865,21591,0
git@github.com:wikimedia/mediawiki.git,1.19.10,1050630,132826,27410,0.43%,5.8001163080502,0,652,865,21594,0
git@github.com:wikimedia/mediawiki.git,1.19.11,1050636,132826,27410,0.43%,5.8001993852289,0,652,865,21594,0
git@github.com:wikimedia/mediawiki.git,1.19.12,1050736,132844,27416,0.43%,5.8008970844755,0,652,865,21597,0
git@github.com:wikimedia/mediawiki.git,1.19.13,1050751,132846,27417,0.43%,5.8006313341087,0,652,865,21597,0
git@github.com:wikimedia/mediawiki.git,1.19.14,1050770,132847,27422,0.43%,5.8010466854959,0,652,865,21597,0
git@github.com:wikimedia/mediawiki.git,1.19.15,1050772,132848,27422,0.43%,5.8011297557734,0,652,865,21598,0
git@github.com:wikimedia/mediawiki.git,1.19.16,1050773,132849,27422,0.43%,5.8011297557734,0,652,865,21598,0
git@github.com:wikimedia/mediawiki.git,1.19.17,1050792,132849,27427,0.43%,5.8013789666057,0,652,865,21598,0
git@github.com:wikimedia/mediawiki.git,1.19.18,1050820,132865,27429,0.43%,5.8008305647841,0,652,865,21598,0
git@github.com:wikimedia/mediawiki.git,1.19.19,1050971,132915,27440,0.43%,5.8008967120558,0,652,865,21600,0
git@github.com:wikimedia/mediawiki.git,1.19.20,1050988,132937,27438,0.43%,5.8005811540058,0,652,865,21599,0
git@github.com:wikimedia/mediawiki.git,1.19.21,1051004,132943,27438,0.43%,5.800796812749,0,652,865,21603,0
git@github.com:wikimedia/mediawiki.git,1.19.22,1051071,132963,27448,0.43%,5.8019423922968,0,652,865,21606,0
git@github.com:wikimedia/mediawiki.git,1.19.23,1051071,132963,27446,0.43%,5.8019423922968,0,652,865,21606,0
git@github.com:wikimedia/mediawiki.git,1.19.24,1051347,133034,27479,0.43%,5.8048780487805,0,652,865,21625,0
git@github.com:wikimedia/mediawiki.git,1.20.0,1085336,151651,28951,0.53%,5.7465800534964,0,652,865,23078,2
git@github.com:wikimedia/mediawiki.git,1.20.1,1086434,151755,28944,0.53%,5.7451669595782,0,652,865,23074,2
git@github.com:wikimedia/mediawiki.git,1.20.2,1086472,151742,28948,0.53%,5.7455878982352,0,652,865,23084,2
git@github.com:wikimedia/mediawiki.git,1.20.3,1095382,151959,28957,0.45%,5.744406261932,0,652,865,23090,2
git@github.com:wikimedia/mediawiki.git,1.20.4,1095401,151968,28957,0.45%,5.7449408171058,0,652,865,23090,2
git@github.com:wikimedia/mediawiki.git,1.20.5,1099126,152200,28973,0.45%,5.7462583995113,0,652,865,23094,2
git@github.com:wikimedia/mediawiki.git,1.20.6,1099232,152223,28985,0.45%,5.7491028479805,0,652,865,23104,2
git@github.com:wikimedia/mediawiki.git,1.20.7,1099310,152237,28996,0.45%,5.7499045728682,0,652,865,23114,2
git@github.com:wikimedia/mediawiki.git,1.20.8,1108885,152702,28998,0.43%,5.7495037410292,0,652,865,23117,2
git@github.com:wikimedia/mediawiki.git,1.21.0,1132412,162772,30598,0.28%,5.7617912603828,0,652,865,24483,1
git@github.com:wikimedia/mediawiki.git,1.21.1,1132412,162772,30598,0.28%,5.7617912603828,0,652,865,24483,1
git@github.com:wikimedia/mediawiki.git,1.21.2,1132444,162790,30603,0.28%,5.7616090127826,0,652,865,24489,1
git@github.com:wikimedia/mediawiki.git,1.21.3,1143004,163290,30605,0.28%,5.7612306803409,0,652,865,24492,1
