repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:woocommerce/woocommerce.git,1.0.1,21702,2927,2469,0.61%,8.5958904109589,0,4990,970,1221,0
git@github.com:woocommerce/woocommerce.git,v1.0.1,21702,2927,2469,0.61%,8.5958904109589,0,4990,970,1221,0
git@github.com:woocommerce/woocommerce.git,1.0.2,21757,2929,2477,0.61%,8.5958904109589,0,4990,970,1224,0
git@github.com:woocommerce/woocommerce.git,v1.0.2,21757,2929,2477,0.61%,8.5958904109589,0,4990,970,1224,0
git@github.com:woocommerce/woocommerce.git,1.0.3,21826,2938,2501,0.62%,8.5850340136054,0,4990,970,1224,0
git@github.com:woocommerce/woocommerce.git,v1.0.3,21826,2938,2501,0.62%,8.5850340136054,0,4990,970,1224,0
git@github.com:woocommerce/woocommerce.git,v1.1.1,22345,2993,2553,0.60%,8.5771812080537,0,4990,970,1234,0
git@github.com:woocommerce/woocommerce.git,1.1.1,22345,2993,2553,0.60%,8.5771812080537,0,4990,970,1234,0
git@github.com:woocommerce/woocommerce.git,v1.1.2,22429,3003,2567,0.60%,8.5819397993311,0,4990,970,1241,0
git@github.com:woocommerce/woocommerce.git,1.1.2,22429,3003,2567,0.60%,8.5819397993311,0,4990,970,1241,0
git@github.com:woocommerce/woocommerce.git,v1.1.3,22613,3017,2597,0.60%,8.6006711409396,0,4990,970,1250,0
git@github.com:woocommerce/woocommerce.git,1.1.3,22613,3017,2597,0.60%,8.6006711409396,0,4990,970,1250,0
git@github.com:woocommerce/woocommerce.git,1.2.1,24515,3218,2884,0.95%,8.7477477477477,0,4990,970,1338,0
git@github.com:woocommerce/woocommerce.git,v1.2.1,24515,3218,2884,0.95%,8.7477477477477,0,4990,970,1338,0
git@github.com:woocommerce/woocommerce.git,1.2.2,25049,3310,3031,0.93%,8.8445747800587,0,4990,970,1368,0
git@github.com:woocommerce/woocommerce.git,v1.2.2,25049,3310,3031,0.93%,8.8445747800587,0,4990,970,1368,0
git@github.com:woocommerce/woocommerce.git,1.2.3,25058,3313,3034,0.93%,8.8533724340176,0,4990,970,1369,0
git@github.com:woocommerce/woocommerce.git,v1.2.3,25058,3313,3034,0.93%,8.8533724340176,0,4990,970,1369,0
git@github.com:woocommerce/woocommerce.git,v1.2.4,25116,3327,3047,0.92%,8.8709677419355,0,4990,970,1370,0
git@github.com:woocommerce/woocommerce.git,1.2.4,25116,3327,3047,0.92%,8.8709677419355,0,4990,970,1370,0
git@github.com:woocommerce/woocommerce.git,v1.3.1,27125,3681,3274,0.91%,9.0080428954424,0,4990,970,1481,0
git@github.com:woocommerce/woocommerce.git,1.3.1,27125,3681,3274,0.91%,9.0080428954424,0,4990,970,1481,0
git@github.com:woocommerce/woocommerce.git,v1.3.2,27076,3683,3273,0.91%,9.0161725067385,0,4990,970,1481,0
git@github.com:woocommerce/woocommerce.git,1.3.2,27076,3683,3273,0.91%,9.0161725067385,0,4990,970,1481,0
git@github.com:woocommerce/woocommerce.git,1.4.1,30682,4147,3705,1.34%,8.4906832298137,0,4990,970,1602,0
git@github.com:woocommerce/woocommerce.git,v1.4.1,30682,4147,3705,1.34%,8.4906832298137,0,4990,970,1602,0
git@github.com:woocommerce/woocommerce.git,v1.4.2,30939,4170,3749,1.33%,8.4081632653061,0,4990,970,1604,0
git@github.com:woocommerce/woocommerce.git,1.4.2,30939,4170,3749,1.33%,8.4081632653061,0,4990,970,1604,0
git@github.com:woocommerce/woocommerce.git,v1.4.3,31108,4188,3767,1.33%,8.3711967545639,0,4990,970,1611,0
git@github.com:woocommerce/woocommerce.git,1.4.3,31108,4188,3767,1.33%,8.3711967545639,0,4990,970,1611,0
git@github.com:woocommerce/woocommerce.git,v1.4.4,31224,4195,3795,1.33%,8.4,0,4990,970,1639,0
git@github.com:woocommerce/woocommerce.git,1.4.4,31224,4195,3795,1.33%,8.4,0,4990,970,1639,0
git@github.com:woocommerce/woocommerce.git,1.5.1,33246,4356,4137,1.43%,8.5463510848126,0,4990,970,1688,0
git@github.com:woocommerce/woocommerce.git,v1.5.1,33246,4356,4137,1.43%,8.5463510848126,0,4990,970,1688,0
git@github.com:woocommerce/woocommerce.git,1.5.2,33726,4406,4213,1.41%,8.5882352941176,0,4990,970,1682,0
git@github.com:woocommerce/woocommerce.git,v1.5.2,33726,4406,4213,1.41%,8.5882352941176,0,4990,970,1682,0
git@github.com:woocommerce/woocommerce.git,v1.5.3,34768,4596,4318,1.17%,8.295145631068,0,4990,970,1724,0
git@github.com:woocommerce/woocommerce.git,1.5.3,34768,4596,4318,1.17%,8.295145631068,0,4990,970,1724,0
git@github.com:woocommerce/woocommerce.git,1.5.4,35591,4840,4428,1.09%,8.1551724137931,0,4990,970,1754,0
git@github.com:woocommerce/woocommerce.git,v1.5.4,35591,4840,4428,1.09%,8.1551724137931,0,4990,970,1754,0
git@github.com:woocommerce/woocommerce.git,1.5.5,47309,8404,5760,1.20%,7.460839954597,0,4990,970,2961,1
git@github.com:woocommerce/woocommerce.git,v1.5.5,47309,8404,5760,1.20%,7.460839954597,0,4990,970,2961,1
git@github.com:woocommerce/woocommerce.git,v1.5.6,47391,8410,5771,1.24%,7.4795454545455,0,4990,970,2959,0
git@github.com:woocommerce/woocommerce.git,1.5.6,47391,8410,5771,1.24%,7.4795454545455,0,4990,970,2959,0
git@github.com:woocommerce/woocommerce.git,1.5.7,49315,8827,5927,1.16%,7.1770726714432,0,4990,970,3079,0
git@github.com:woocommerce/woocommerce.git,v1.5.7,49315,8827,5927,1.16%,7.1770726714432,0,4990,970,3079,0
git@github.com:woocommerce/woocommerce.git,1.5.8,49324,8828,5930,1.17%,7.1770726714432,0,4990,970,3083,0
git@github.com:woocommerce/woocommerce.git,v1.5.8,49324,8828,5930,1.17%,7.1770726714432,0,4990,970,3083,0
git@github.com:woocommerce/woocommerce.git,v1.6.0,50313,9083,6022,1.15%,7.1337386018237,0,4990,970,3106,0
git@github.com:woocommerce/woocommerce.git,1.6.0,50313,9083,6022,1.15%,7.1337386018237,0,4990,970,3106,0
git@github.com:woocommerce/woocommerce.git,1.6.1,50392,9094,6033,1.15%,7.1337386018237,0,4990,970,3109,0
git@github.com:woocommerce/woocommerce.git,v1.6.1,50392,9094,6033,1.15%,7.1337386018237,0,4990,970,3109,0
git@github.com:woocommerce/woocommerce.git,v1.6.2,51356,9173,6109,1.13%,7.0803212851406,0,4990,970,3122,0
git@github.com:woocommerce/woocommerce.git,1.6.2,51356,9173,6109,1.13%,7.0803212851406,0,4990,970,3122,0
git@github.com:woocommerce/woocommerce.git,1.6.3,51476,9172,6126,1.12%,7.0832497492477,0,4990,970,3132,0
git@github.com:woocommerce/woocommerce.git,v1.6.3,51476,9172,6126,1.12%,7.0832497492477,0,4990,970,3132,0
git@github.com:woocommerce/woocommerce.git,1.6.4,57362,14027,6140,1.03%,7.038961038961,0,4990,970,3132,0
git@github.com:woocommerce/woocommerce.git,v1.6.4,57362,14027,6140,1.03%,7.038961038961,0,4990,970,3132,0
