repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,1.1.0,153,58,24,0.00%,11.25,0,1441,27,4,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,2.0.4,205,74,34,0.00%,13.5,0,1441,27,9,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,2.0.5,274,121,38,0.00%,11.333333333333,0,1441,27,12,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,3.0.0,354,157,38,0.00%,7.2,0,1441,27,12,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,v3.0.2,360,159,39,0.00%,7.4,0,1441,27,12,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,v3.1.0,362,159,46,0.00%,7.5,0,1441,27,13,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,v3.1.1,362,159,46,0.00%,7.6,0,1441,27,13,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,v4.0.0,901,392,67,0.00%,7.4166666666667,0,1441,27,42,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,v4.0.1,901,392,67,0.00%,7.4166666666667,0,1441,27,42,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,v4.0.2,1203,496,79,0.00%,10.607142857143,0,1441,27,58,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,v4.1.0,1217,499,88,0.00%,10.857142857143,0,1441,27,60,0
git@github.com:wp-bootstrap/wp-bootstrap-navwalker.git,v4.2.0,1217,499,88,0.00%,10.857142857143,0,1441,27,60,0
