repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:wp-cli/wp-cli.git,v0.3.0,1710,421,152,0.00%,4.8684210526316,0,791,287,77,0
git@github.com:wp-cli/wp-cli.git,v0.4.0,2353,481,248,0.00%,6.5,0,791,287,129,0
git@github.com:wp-cli/wp-cli.git,v0.5.0,2753,516,310,0.00%,6.7943925233645,0,791,287,160,0
git@github.com:wp-cli/wp-cli.git,v0.6.0,3884,766,457,0.00%,6.9261744966443,0,791,287,220,0
git@github.com:wp-cli/wp-cli.git,v0.7.0,4870,840,515,0.00%,5.3928571428571,0,791,287,282,0
git@github.com:wp-cli/wp-cli.git,v0.8.0,7786,1282,876,0.00%,5.3,0,791,287,421,0
git@github.com:wp-cli/wp-cli.git,v0.9.0,8774,1422,964,0.00%,5.3634020618557,0,791,284,479,0
git@github.com:wp-cli/wp-cli.git,v0.9.1,8809,1426,963,0.00%,5.3650385604113,0,791,284,484,0
git@github.com:wp-cli/wp-cli.git,v0.10.0,9843,1572,1066,0.00%,5.3701149425287,0,791,286,538,0
git@github.com:wp-cli/wp-cli.git,v0.10.1,9860,1573,1067,0.00%,5.3770114942529,0,791,286,538,0
git@github.com:wp-cli/wp-cli.git,v0.10.2,9865,1574,1068,0.00%,5.3816091954023,0,791,286,539,0
git@github.com:wp-cli/wp-cli.git,v0.11.0,12097,3035,1164,0.00%,5.4809322033898,0,791,286,575,0
git@github.com:wp-cli/wp-cli.git,v0.11.1,12108,3035,1168,0.00%,5.4830508474576,0,791,286,576,0
git@github.com:wp-cli/wp-cli.git,v0.11.2,12105,3036,1168,0.00%,5.4851694915254,0,791,286,577,0
git@github.com:wp-cli/wp-cli.git,v0.12.0,13139,3325,1257,0.00%,5.3947895791583,0,791,286,635,0
git@github.com:wp-cli/wp-cli.git,v0.12.1,13181,3338,1267,0.00%,5.406,0,791,285,635,0
git@github.com:wp-cli/wp-cli.git,v0.13.0,14064,3575,1346,0.00%,5.3259259259259,0,791,287,663,0
git@github.com:wp-cli/wp-cli.git,v0.14.0,15407,3871,1430,0.00%,4.9032761310452,0,791,286,820,0
git@github.com:wp-cli/wp-cli.git,v0.14.1,15410,3872,1430,0.00%,4.9032761310452,0,791,286,820,0
git@github.com:wp-cli/wp-cli.git,v0.15.0,17486,4724,1610,0.00%,5.051724137931,0,791,285,914,0
git@github.com:wp-cli/wp-cli.git,v0.15.1,17525,4729,1618,0.00%,5.0603448275862,0,791,285,915,0
git@github.com:wp-cli/wp-cli.git,v0.16.0,18754,5286,1730,0.00%,5.1468144044321,0,791,285,972,0
git@github.com:wp-cli/wp-cli.git,v0.17.0,20240,6091,1850,0.00%,5.2639455782313,0,791,283,1016,0
git@github.com:wp-cli/wp-cli.git,v0.17.1,20275,6093,1858,0.00%,5.2789115646258,0,791,283,1023,0
git@github.com:wp-cli/wp-cli.git,v0.17.2,20280,6093,1858,0.00%,5.2829931972789,0,791,283,1023,0
git@github.com:wp-cli/wp-cli.git,v0.18.0,21365,6408,1962,0.00%,5.3110236220472,0,791,283,1067,0
git@github.com:wp-cli/wp-cli.git,v0.18.1,21366,6408,1962,0.00%,5.3123359580052,0,791,283,1067,0
git@github.com:wp-cli/wp-cli.git,v0.19.0,22022,6626,1992,0.00%,5.419689119171,0,791,282,1105,0
git@github.com:wp-cli/wp-cli.git,v0.19.1,22029,6626,1995,0.00%,5.4209844559585,0,791,282,1103,0
git@github.com:wp-cli/wp-cli.git,v0.19.2,22029,6626,1995,0.00%,5.4209844559585,0,791,282,1103,0
git@github.com:wp-cli/wp-cli.git,v0.19.3,22030,6626,1995,0.00%,5.4222797927461,0,791,282,1103,0
git@github.com:wp-cli/wp-cli.git,v0.20.0,22812,6820,2080,0.00%,5.5338441890166,0,791,282,1149,0
git@github.com:wp-cli/wp-cli.git,v0.20.1,22812,6820,2080,0.00%,5.5338441890166,0,791,282,1149,0
git@github.com:wp-cli/wp-cli.git,v0.20.2,22812,6820,2080,0.00%,5.5338441890166,0,791,282,1149,0
git@github.com:wp-cli/wp-cli.git,v0.20.3,22837,6825,2086,0.00%,5.5319693094629,0,791,282,1149,0
git@github.com:wp-cli/wp-cli.git,v0.20.4,22857,6825,2080,0.00%,5.5319693094629,0,791,282,1149,0
git@github.com:wp-cli/wp-cli.git,v0.21.0,23603,7057,2143,0.00%,5.5924528301887,0,791,281,1182,0
git@github.com:wp-cli/wp-cli.git,v0.21.1,23629,7057,2143,0.00%,5.5924528301887,0,791,281,1182,0
git@github.com:wp-cli/wp-cli.git,v0.22.0,23177,6946,2027,0.00%,5.5837765957447,0,791,281,1150,0
git@github.com:wp-cli/wp-cli.git,v0.23.0,24742,7504,2218,0.00%,5.6940581542351,0,791,280,1246,0
git@github.com:wp-cli/wp-cli.git,v0.23.1,24761,7504,2220,0.00%,5.7041719342604,0,791,280,1252,0
git@github.com:wp-cli/wp-cli.git,v0.24.0,28796,10298,2476,0.11%,5.9925834363412,0,791,277,1367,0
git@github.com:wp-cli/wp-cli.git,v0.24.1,28802,10299,2480,0.11%,5.9925834363412,0,791,277,1374,0
git@github.com:wp-cli/wp-cli.git,v0.25.0,29997,10899,2590,0.10%,6.1254567600487,0,791,277,1421,0
git@github.com:wp-cli/wp-cli.git,v1.0.0,30853,11214,2689,0.19%,6.2484993997599,0,791,277,1474,0
