repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:yiisoft/yii.git,1.0.0,173369,30116,6980,40.60%,5.0121122599705,0,2190,366,6668,18
git@github.com:yiisoft/yii.git,1.0.1,176910,30972,7213,39.88%,4.9614945807188,0,2190,366,6850,18
git@github.com:yiisoft/yii.git,1.0.2,183505,32176,7362,38.72%,4.9303707896971,0,2190,366,6872,18
git@github.com:yiisoft/yii.git,1.0.3,189441,32922,7640,38.02%,4.9120818357755,0,2190,366,7007,19
git@github.com:yiisoft/yii.git,1.0.4,192430,33883,7867,37.35%,4.9762354847421,0,2190,366,7359,19
git@github.com:yiisoft/yii.git,1.0.5,194838,34435,8203,37.03%,4.9920403289997,0,2190,366,7498,19
git@github.com:yiisoft/yii.git,1.0.6,196179,34768,8329,36.83%,5.008677359979,0,2190,366,7550,19
git@github.com:yiisoft/yii.git,1.0.7,196548,34812,8406,36.87%,5.0175622542595,0,2190,366,7587,19
git@github.com:yiisoft/yii.git,1.0.8,197957,34990,8537,36.64%,5.0263501174015,0,2190,366,7643,19
git@github.com:yiisoft/yii.git,1.0.9,198821,35113,8595,36.54%,5.0269499870433,0,2190,366,7703,19
git@github.com:yiisoft/yii.git,1.0.10,200189,35412,8663,36.29%,5.0219524793388,0,2190,366,7709,19
git@github.com:yiisoft/yii.git,1.0.11,200206,35412,8675,36.32%,5.0222050090369,0,2190,366,7713,19
git@github.com:yiisoft/yii.git,1.0.12,200205,35422,8672,36.32%,5.0214304156984,0,2190,366,7722,19
git@github.com:yiisoft/yii.git,1.1.0,275647,38173,9195,51.14%,4.9234998804686,0,2190,366,8219,20
git@github.com:yiisoft/yii.git,1.1.1,275647,38173,9195,51.14%,4.9234998804686,0,2190,366,8219,20
git@github.com:yiisoft/yii.git,1.1.2,283960,39711,9890,49.91%,4.9524988743809,0,2190,366,8785,20
git@github.com:yiisoft/yii.git,1.1.3,286913,40237,10265,49.70%,4.9832451499118,0,2190,366,9029,20
git@github.com:yiisoft/yii.git,1.1.4,294022,43030,10680,48.57%,5.0185897435897,0,2190,366,9518,20
git@github.com:yiisoft/yii.git,1.1.5,297668,43839,10947,48.07%,5.0589232725731,0,2190,366,9688,20
git@github.com:yiisoft/yii.git,1.1.6,346871,46733,11333,52.49%,5.0067932067932,0,2190,366,10031,19
git@github.com:yiisoft/yii.git,1.1.7,350793,47574,11659,52.09%,5.0668902920284,0,2190,366,10392,19
git@github.com:yiisoft/yii.git,1.1.8,354709,48437,11862,51.68%,5.0770280811232,0,2190,366,10649,20
git@github.com:yiisoft/yii.git,1.1.9,616957,49455,11972,57.11%,5.081065318818,0,2190,366,10696,20
git@github.com:yiisoft/yii.git,1.1.10,617844,49761,12091,57.13%,5.0991863618752,0,2190,366,10830,20
git@github.com:yiisoft/yii.git,1.1.11,628263,51403,12411,56.84%,5.062511627907,0,2190,366,11104,21
git@github.com:yiisoft/yii.git,1.1.12,628908,51503,12408,56.79%,5.0692009595866,0,2190,366,11114,21
git@github.com:yiisoft/yii.git,1.1.13,635631,52443,12990,56.27%,5.1982621032098,0,2190,359,11745,21
git@github.com:yiisoft/yii.git,1.1.14,645528,54890,13436,55.54%,5.2331340734415,0,2190,359,12197,21
git@github.com:yiisoft/yii.git,1.1.15,645528,54890,13437,55.54%,5.2331340734415,0,2190,359,12197,21
git@github.com:yiisoft/yii.git,1.1.16,814860,59321,13718,61.18%,5.2294645826405,0,2190,359,12638,21
git@github.com:yiisoft/yii.git,1.1.17,815378,59479,13774,61.15%,5.2284482758621,0,2190,359,12701,4
git@github.com:yiisoft/yii.git,1.1.18,819026,60165,13916,61.00%,5.2382754648675,0,2190,359,12797,4
git@github.com:yiisoft/yii.git,1.1.19,819076,60174,13924,61.00%,5.2388550748478,0,2190,359,12798,4
git@github.com:yiisoft/yii.git,1.1.20,819333,60208,13974,60.99%,5.2411300919842,0,2190,359,12825,4
