repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:yiisoft/yii2.git,2.0.0,156354,50848,8588,1.06%,4.8922339405561,0,6691,1228,9034,2
git@github.com:yiisoft/yii2.git,2.0.1,159000,51774,8750,1.05%,4.9232518476407,0,6691,1228,9217,2
git@github.com:yiisoft/yii2.git,2.0.2,160054,52112,8801,1.09%,4.9465936969239,0,6691,1228,9275,2
git@github.com:yiisoft/yii2.git,2.0.3,163041,52823,8922,1.07%,4.9415596501024,0,6691,1228,9359,2
git@github.com:yiisoft/yii2.git,2.0.4,111672,36983,6076,0.45%,5.2347876004592,0,6691,1228,5989,2
git@github.com:yiisoft/yii2.git,2.0.5,111672,36983,6076,0.45%,5.2347876004592,0,6691,1228,5989,2
git@github.com:yiisoft/yii2.git,2.0.6,114757,37880,6234,0.55%,5.2556580050293,0,6691,1228,6220,2
git@github.com:yiisoft/yii2.git,2.0.7,115978,39724,6614,0.68%,5.369776609724,0,6691,1228,6824,2
git@github.com:yiisoft/yii2.git,2.0.8,122656,40956,6876,0.67%,5.4129895884978,0,6691,1228,7116,2
git@github.com:yiisoft/yii2.git,2.0.9,125062,41511,6998,0.67%,5.4279795271752,0,6691,1228,7277,2
git@github.com:yiisoft/yii2.git,2.0.10,130597,42954,7256,0.68%,5.470312133302,0,6691,1228,7658,2
git@github.com:yiisoft/yii2.git,2.0.11,139173,45174,7521,0.71%,5.5154503616042,0,6691,1228,8169,2
git@github.com:yiisoft/yii2.git,2.0.12,145763,46546,7778,0.68%,5.530938538206,0,6691,1228,8632,2
git@github.com:yiisoft/yii2.git,2.0.13,162471,52345,8294,0.72%,5.4093744093744,0,6691,1228,9122,2
git@github.com:yiisoft/yii2.git,2.0.14,174245,55752,8655,0.69%,5.3511463844797,0,6691,1228,9533,2
git@github.com:yiisoft/yii2.git,2.0.15,175217,55994,8708,0.68%,5.3450877192982,0,6691,1228,9594,2
