repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:z-song/laravel-admin.git,v1.1.6,10370,2060,312,0.00%,2.4242424242424,0,1509,147,226,75
git@github.com:z-song/laravel-admin.git,v1.2.6,16143,3873,417,0.97%,2.786858974359,0,1509,147,572,80
git@github.com:z-song/laravel-admin.git,v1.2.8,19454,4890,555,0.80%,2.7615283267457,0,1509,147,681,80
git@github.com:z-song/laravel-admin.git,v1.2.9,22621,5796,656,0.72%,2.8156359393232,0,1509,147,754,70
git@github.com:z-song/laravel-admin.git,v1.2.10,23351,6018,682,0.70%,2.8154020385051,0,1509,147,765,72
git@github.com:z-song/laravel-admin.git,v1.3.3,22629,5797,655,0.72%,2.8154205607477,0,1509,147,749,71
git@github.com:z-song/laravel-admin.git,v1.3.4,23367,6023,681,0.70%,2.8174603174603,0,1509,147,760,73
git@github.com:z-song/laravel-admin.git,v1.4.1,22650,5807,654,0.72%,2.8130841121495,0,1509,147,752,71
git@github.com:z-song/laravel-admin.git,v1.4.4,23945,6174,711,0.68%,2.8055555555556,0,1509,147,766,74
git@github.com:z-song/laravel-admin.git,v1.4.5,23965,6182,711,0.68%,2.8015521064302,0,1509,147,766,74
git@github.com:z-song/laravel-admin.git,v1.4.6,24056,6187,712,0.68%,2.8048780487805,0,1509,147,766,74
git@github.com:z-song/laravel-admin.git,v1.5.5,23662,6398,685,1.10%,2.7564534231201,0,1509,147,791,73
git@github.com:z-song/laravel-admin.git,v1.5.6,23957,6524,691,1.09%,2.7286821705426,0,1509,147,795,73
git@github.com:z-song/laravel-admin.git,v1.5.7,24534,6659,697,1.06%,2.726872246696,0,1509,147,798,73
git@github.com:z-song/laravel-admin.git,v1.5.8,24714,6721,703,1.05%,2.7244785949506,0,1509,147,808,73
git@github.com:z-song/laravel-admin.git,v1.5.9,24717,6721,703,1.05%,2.7244785949506,0,1509,147,809,73
git@github.com:z-song/laravel-admin.git,v1.5.10,25215,6738,708,1.03%,2.7305585980285,0,1509,147,811,73
git@github.com:z-song/laravel-admin.git,v1.5.11,25305,6764,710,1.03%,2.7336244541485,0,1509,147,812,73
git@github.com:z-song/laravel-admin.git,v1.5.12,25302,6764,710,1.03%,2.7336244541485,0,1509,147,812,73
git@github.com:z-song/laravel-admin.git,v1.5.13,25406,6808,715,1.02%,2.7310195227766,0,1509,147,818,73
git@github.com:z-song/laravel-admin.git,v1.5.14,25445,6821,717,0.98%,2.7345612134345,0,1509,147,818,73
git@github.com:z-song/laravel-admin.git,v1.5.15,25710,6833,719,0.97%,2.7362162162162,0,1509,147,819,73
git@github.com:z-song/laravel-admin.git,v1.5.16,27552,7511,791,0.91%,2.7142857142857,0,1509,147,859,76
git@github.com:z-song/laravel-admin.git,v1.5.17,27552,7511,791,0.91%,2.7142857142857,0,1509,147,859,76
git@github.com:z-song/laravel-admin.git,v1.5.18,28755,7943,852,1.15%,2.7557692307692,0,1509,147,885,80
git@github.com:z-song/laravel-admin.git,v1.5.19,29554,8184,885,1.18%,2.7416044776119,0,1509,147,959,81
git@github.com:z-song/laravel-admin.git,v1.6.0,31477,8830,961,0.90%,2.7371627502176,0,1509,147,1007,81
git@github.com:z-song/laravel-admin.git,v1.6.1,31867,8987,984,0.89%,2.7612456747405,0,1509,147,1002,81
git@github.com:z-song/laravel-admin.git,v1.6.2,32000,8992,989,0.89%,2.7640449438202,0,1509,147,1002,81
git@github.com:z-song/laravel-admin.git,v1.6.3,32033,9003,992,0.86%,2.7649092480553,0,1509,147,1003,81
git@github.com:z-song/laravel-admin.git,v1.6.4,32382,9097,1007,0.83%,2.7708154506438,0,1509,147,1018,81
git@github.com:z-song/laravel-admin.git,v1.6.5,32391,9102,1007,0.83%,2.7684391080617,0,1509,147,1018,81
git@github.com:z-song/laravel-admin.git,v1.6.6,32375,9124,1009,0.83%,2.7683760683761,0,1509,147,1019,81
git@github.com:z-song/laravel-admin.git,v1.6.7,32511,9134,1012,0.83%,2.7670648464164,0,1509,147,1019,81
git@github.com:z-song/laravel-admin.git,v1.6.8,32660,9179,1024,0.83%,2.7707979626486,0,1509,147,1026,81
