repository,tag,analyser_loc,analyser_cloc,analyser_cyclomatic_complexity,analyser_duplication,analyser_unit_size,analyser_unit_interface_size,analyser_forks,analyser_contributor,sniffer_errors,sniffer_warnings
git@github.com:zircote/swagger-php.git,0.1.0,1541,800,82,0.00%,2.811320754717,0,503,99,48,0
git@github.com:zircote/swagger-php.git,0.2.1,2361,1043,91,0.00%,2.4408602150538,0,503,99,51,0
git@github.com:zircote/swagger-php.git,0.3.0,2575,1079,98,0.00%,2.5208333333333,0,503,99,64,0
git@github.com:zircote/swagger-php.git,0.4.0,3234,1688,166,0.00%,3.9873417721519,0,503,99,172,0
git@github.com:zircote/swagger-php.git,0.4.1,3441,1786,178,0.00%,3.9647058823529,0,503,99,189,0
git@github.com:zircote/swagger-php.git,0.4.2,3488,1802,185,0.00%,3.9885057471264,0,503,99,196,0
git@github.com:zircote/swagger-php.git,0.4.3,3837,1991,202,0.00%,3.82,0,503,99,205,0
git@github.com:zircote/swagger-php.git,0.6.0,4511,2208,271,0.00%,4.096,0,503,99,218,0
git@github.com:zircote/swagger-php.git,0.6.1,4515,2211,271,0.00%,4.096,0,503,99,219,0
git@github.com:zircote/swagger-php.git,0.7.0,4853,2359,311,0.00%,4.3358778625954,0,503,99,237,0
git@github.com:zircote/swagger-php.git,0.7.1,4883,2370,313,0.00%,4.3636363636364,0,503,99,235,0
git@github.com:zircote/swagger-php.git,0.7.2,4884,2370,313,0.00%,4.3712121212121,0,503,99,235,0
git@github.com:zircote/swagger-php.git,0.7.3,4887,2370,314,0.00%,4.3787878787879,0,503,99,236,0
git@github.com:zircote/swagger-php.git,0.8.0,4244,1921,318,0.00%,5.3571428571429,0,503,99,242,0
git@github.com:zircote/swagger-php.git,0.8.1,4245,1896,323,0.00%,5.3737373737374,0,503,99,249,0
git@github.com:zircote/swagger-php.git,0.8.2,4412,1927,342,0.00%,5.4905660377358,0,503,99,259,0
git@github.com:zircote/swagger-php.git,0.8.3,4426,1930,344,0.00%,5.5094339622642,0,503,99,259,0
git@github.com:zircote/swagger-php.git,0.9.0,5087,2295,339,0.00%,4.4740740740741,0,503,99,251,0
git@github.com:zircote/swagger-php.git,0.9.1,5117,2291,339,0.00%,4.4740740740741,0,503,99,251,0
git@github.com:zircote/swagger-php.git,0.9.2,5122,2292,341,0.00%,4.4888888888889,0,503,99,251,0
git@github.com:zircote/swagger-php.git,0.9.3,5068,2179,384,0.00%,5.1370967741935,0,503,99,271,0
git@github.com:zircote/swagger-php.git,0.9.4,5085,2187,386,0.00%,5.12,0,503,99,275,0
git@github.com:zircote/swagger-php.git,0.9.5,6097,2868,430,0.00%,4.972602739726,0,503,99,316,0
git@github.com:zircote/swagger-php.git,0.9.6,6113,2877,432,0.00%,4.9794520547945,0,503,99,316,0
git@github.com:zircote/swagger-php.git,1.0.0,6385,3005,441,0.00%,4.8543046357616,0,503,99,323,0
git@github.com:zircote/swagger-php.git,2.0.0,6691,2932,378,0.00%,5.3214285714286,0,503,99,552,0
git@github.com:zircote/swagger-php.git,2.0.1,6728,2938,383,0.00%,5.3758865248227,0,503,99,560,0
git@github.com:zircote/swagger-php.git,2.0.2,6680,2893,388,0.00%,5.3916083916084,0,503,99,546,0
git@github.com:zircote/swagger-php.git,2.0.3,6806,2924,399,0.00%,5.513698630137,0,503,99,554,0
git@github.com:zircote/swagger-php.git,2.0.4,6807,2924,401,0.00%,5.513698630137,0,503,99,554,0
git@github.com:zircote/swagger-php.git,2.0.5,6769,2901,401,0.00%,5.5205479452055,0,503,99,548,0
git@github.com:zircote/swagger-php.git,2.0.6,7037,2952,417,0.00%,5.5909090909091,0,503,99,576,0
git@github.com:zircote/swagger-php.git,2.0.7,7345,3012,434,0.00%,5.7300613496933,0,503,99,591,0
git@github.com:zircote/swagger-php.git,2.0.8,7752,3162,497,0.00%,5.4972067039106,0,503,99,618,0
git@github.com:zircote/swagger-php.git,2.0.9,7845,3173,500,0.00%,5.4648648648649,0,503,99,621,0
git@github.com:zircote/swagger-php.git,2.0.10,8024,3269,509,0.00%,5.3717277486911,0,503,99,631,0
git@github.com:zircote/swagger-php.git,2.0.11,8201,3294,545,0.00%,5.4642857142857,0,503,99,640,0
git@github.com:zircote/swagger-php.git,2.0.12,8221,3298,545,0.00%,5.4292929292929,0,503,99,640,0
git@github.com:zircote/swagger-php.git,2.0.13,8539,3498,557,0.00%,5.5124378109453,0,503,99,650,0
git@github.com:zircote/swagger-php.git,3.0.0,12619,5969,640,0.00%,5.4262948207171,0,503,99,878,0
git@github.com:zircote/swagger-php.git,3.0.1,12716,5998,644,0.00%,5.4347826086957,0,503,99,873,0
git@github.com:zircote/swagger-php.git,3.0.2,12357,5853,595,0.00%,5.5082644628099,0,503,99,845,0
